"Step","stairs_pose_net_r18 - epoch/test_loss","stairs_pose_net_r18 - epoch/test_loss__MIN","stairs_pose_net_r18 - epoch/test_loss__MAX","pumpkin_pose_net_r18 - epoch/test_loss","pumpkin_pose_net_r18 - epoch/test_loss__MIN","pumpkin_pose_net_r18 - epoch/test_loss__MAX","office_pose_net_r18 - epoch/test_loss","office_pose_net_r18 - epoch/test_loss__MIN","office_pose_net_r18 - epoch/test_loss__MAX","heads_pose_net_r18 - epoch/test_loss","heads_pose_net_r18 - epoch/test_loss__MIN","heads_pose_net_r18 - epoch/test_loss__MAX","fire_pose_net_r18 - epoch/test_loss","fire_pose_net_r18 - epoch/test_loss__MIN","fire_pose_net_r18 - epoch/test_loss__MAX","chess_pose_net_r18 - epoch/test_loss","chess_pose_net_r18 - epoch/test_loss__MIN","chess_pose_net_r18 - epoch/test_loss__MAX"
"1","17.687408924102783","17.687408924102783","17.687408924102783","13.073713183403015","13.073713183403015","13.073713183403015","30.523596942424774","30.523596942424774","30.523596942424774","7.160478115081787","7.160478115081787","7.160478115081787","22.798396408557892","22.798396408557892","22.798396408557892","11.009093344211578","11.009093344211578","11.009093344211578"
"2","13.840949654579163","13.840949654579163","13.840949654579163","13.162735641002655","13.162735641002655","13.162735641002655","29.36092895269394","29.36092895269394","29.36092895269394","8.179858922958374","8.179858922958374","8.179858922958374","19.056833267211914","19.056833267211914","19.056833267211914","10.179941713809967","10.179941713809967","10.179941713809967"
"3","11.75340873003006","11.75340873003006","11.75340873003006","13.204349517822266","13.204349517822266","13.204349517822266","29.156232714653015","29.156232714653015","29.156232714653015","8.420899391174316","8.420899391174316","8.420899391174316","19.113578379154205","19.113578379154205","19.113578379154205","9.736222833395004","9.736222833395004","9.736222833395004"
"4","10.419856131076813","10.419856131076813","10.419856131076813","13.190729320049286","13.190729320049286","13.190729320049286","29.097549259662628","29.097549259662628","29.097549259662628","8.35133981704712","8.35133981704712","8.35133981704712","19.444148361682892","19.444148361682892","19.444148361682892","9.552209466695786","9.552209466695786","9.552209466695786"
"5","9.43240600824356","9.43240600824356","9.43240600824356","13.11994618177414","13.11994618177414","13.11994618177414","29.028995096683502","29.028995096683502","29.028995096683502","8.178655862808228","8.178655862808228","8.178655862808228","19.67470508813858","19.67470508813858","19.67470508813858","9.4573372900486","9.4573372900486","9.4573372900486"
"6","8.693580269813538","8.693580269813538","8.693580269813538","13.027750730514526","13.027750730514526","13.027750730514526","28.941021859645844","28.941021859645844","28.941021859645844","7.993365526199341","7.993365526199341","7.993365526199341","19.76709747314453","19.76709747314453","19.76709747314453","9.395212799310684","9.395212799310684","9.395212799310684"
"7","8.1783906519413","8.1783906519413","8.1783906519413","12.933002471923828","12.933002471923828","12.933002471923828","28.83973467350006","28.83973467350006","28.83973467350006","7.817803740501404","7.817803740501404","7.817803740501404","19.759686291217804","19.759686291217804","19.759686291217804","9.344038367271423","9.344038367271423","9.344038367271423"
"8","7.851539254188538","7.851539254188538","7.851539254188538","12.841040015220642","12.841040015220642","12.841040015220642","28.72923916578293","28.72923916578293","28.72923916578293","7.660840749740601","7.660840749740601","7.660840749740601","19.69624823331833","19.69624823331833","19.69624823331833","9.295229196548462","9.295229196548462","9.295229196548462"
"9","7.650676101446152","7.650676101446152","7.650676101446152","12.752026081085205","12.752026081085205","12.752026081085205","28.61036056280136","28.61036056280136","28.61036056280136","7.523839592933655","7.523839592933655","7.523839592933655","19.609312653541565","19.609312653541565","19.609312653541565","9.245853781700134","9.245853781700134","9.245853781700134"
"10","7.525775611400604","7.525775611400604","7.525775611400604","12.664308845996857","12.664308845996857","12.664308845996857","28.4843510389328","28.4843510389328","28.4843510389328","7.40766441822052","7.40766441822052","7.40766441822052","19.51709109544754","19.51709109544754","19.51709109544754","9.195181012153625","9.195181012153625","9.195181012153625"
"11","7.4455660581588745","7.4455660581588745","7.4455660581588745","12.577234148979187","12.577234148979187","12.577234148979187","28.35027849674225","28.35027849674225","28.35027849674225","7.315325736999512","7.315325736999512","7.315325736999512","19.42856127023697","19.42856127023697","19.42856127023697","9.143392473459244","9.143392473459244","9.143392473459244"
"12","7.39195254445076","7.39195254445076","7.39195254445076","12.489411175251007","12.489411175251007","12.489411175251007","28.207456529140472","28.207456529140472","28.207456529140472","7.247694253921509","7.247694253921509","7.247694253921509","19.346250653266907","19.346250653266907","19.346250653266907","9.090349316596985","9.090349316596985","9.090349316596985"
"13","7.354383885860443","7.354383885860443","7.354383885860443","12.40061616897583","12.40061616897583","12.40061616897583","28.05482131242752","28.05482131242752","28.05482131242752","7.199340581893921","7.199340581893921","7.199340581893921","19.27017480134964","19.27017480134964","19.27017480134964","9.035931557416916","9.035931557416916","9.035931557416916"
"14","7.326798588037491","7.326798588037491","7.326798588037491","12.310766994953156","12.310766994953156","12.310766994953156","27.891365706920624","27.891365706920624","27.891365706920624","7.165881633758545","7.165881633758545","7.165881633758545","19.19907772541046","19.19907772541046","19.19907772541046","8.98030698299408","8.98030698299408","8.98030698299408"
"15","7.304938971996307","7.304938971996307","7.304938971996307","12.219600856304169","12.219600856304169","12.219600856304169","27.715647399425507","27.715647399425507","27.715647399425507","7.141368985176086","7.141368985176086","7.141368985176086","19.130918443202972","19.130918443202972","19.130918443202972","8.923101425170898","8.923101425170898","8.923101425170898"
