"Step","stairs_pose_net_effb1 - epoch/test_loss","stairs_pose_net_effb1 - epoch/test_loss__MIN","stairs_pose_net_effb1 - epoch/test_loss__MAX","pumpkin_pose_net_effb1 - epoch/test_loss","pumpkin_pose_net_effb1 - epoch/test_loss__MIN","pumpkin_pose_net_effb1 - epoch/test_loss__MAX","office_pose_net_effb1 - epoch/test_loss","office_pose_net_effb1 - epoch/test_loss__MIN","office_pose_net_effb1 - epoch/test_loss__MAX","heads_pose_net_effb1 - epoch/test_loss","heads_pose_net_effb1 - epoch/test_loss__MIN","heads_pose_net_effb1 - epoch/test_loss__MAX","fire_pose_net_effb1 - epoch/test_loss","fire_pose_net_effb1 - epoch/test_loss__MIN","fire_pose_net_effb1 - epoch/test_loss__MAX","chess_pose_net_effb1 - epoch/test_loss","chess_pose_net_effb1 - epoch/test_loss__MIN","chess_pose_net_effb1 - epoch/test_loss__MAX"
"1","11.199135601520538","11.199135601520538","11.199135601520538","14.881732493638992","14.881732493638992","14.881732493638992","29.52781116962433","29.52781116962433","29.52781116962433","8.768331319093704","8.768331319093704","8.768331319093704","25.349196210503578","25.349196210503578","25.349196210503578","10.19048261642456","10.19048261642456","10.19048261642456"
"2","7.9586725533008575","7.9586725533008575","7.9586725533008575","13.444549605250359","13.444549605250359","13.444549605250359","29.37074139714241","29.37074139714241","29.37074139714241","8.314250707626343","8.314250707626343","8.314250707626343","21.93440543115139","21.93440543115139","21.93440543115139","9.993373572826385","9.993373572826385","9.993373572826385"
"3","7.326987460255623","7.326987460255623","7.326987460255623","13.193589240312576","13.193589240312576","13.193589240312576","29.11296482384205","29.11296482384205","29.11296482384205","7.630781918764114","7.630781918764114","7.630781918764114","20.578482680022717","20.578482680022717","20.578482680022717","9.8775934278965","9.8775934278965","9.8775934278965"
"4","7.330720037221909","7.330720037221909","7.330720037221909","13.025928646326065","13.025928646326065","13.025928646326065","28.86802138388157","28.86802138388157","28.86802138388157","7.155118823051453","7.155118823051453","7.155118823051453","20.155422754585743","20.155422754585743","20.155422754585743","9.785390838980675","9.785390838980675","9.785390838980675"
"5","7.431542605161667","7.431542605161667","7.431542605161667","12.844020210206509","12.844020210206509","12.844020210206509","28.63730889558792","28.63730889558792","28.63730889558792","6.967774838209152","6.967774838209152","6.967774838209152","20.028811268508434","20.028811268508434","20.028811268508434","9.701407343149185","9.701407343149185","9.701407343149185"
"6","7.44437001645565","7.44437001645565","7.44437001645565","12.659340485930443","12.659340485930443","12.659340485930443","28.420692205429077","28.420692205429077","28.420692205429077","6.9686815440654755","6.9686815440654755","6.9686815440654755","19.914246767759323","19.914246767759323","19.914246767759323","9.623394027352333","9.623394027352333","9.623394027352333"
"7","7.400247424840927","7.400247424840927","7.400247424840927","12.485416948795319","12.485416948795319","12.485416948795319","28.19336487352848","28.19336487352848","28.19336487352848","7.041054159402847","7.041054159402847","7.041054159402847","19.775484681129456","19.775484681129456","19.775484681129456","9.55348914861679","9.55348914861679","9.55348914861679"
"8","7.3440373837947845","7.3440373837947845","7.3440373837947845","12.303765743970871","12.303765743970871","12.303765743970871","28.02620694041252","28.02620694041252","28.02620694041252","7.074212461709976","7.074212461709976","7.074212461709976","19.588450483977795","19.588450483977795","19.588450483977795","9.471058651804924","9.471058651804924","9.471058651804924"
"9","7.288750201463699","7.288750201463699","7.288750201463699","12.154529303312302","12.154529303312302","12.154529303312302","27.818090230226517","27.818090230226517","27.818090230226517","7.077357232570648","7.077357232570648","7.077357232570648","19.409197583794594","19.409197583794594","19.409197583794594","9.400459565222263","9.400459565222263","9.400459565222263"
"10","7.241410106420517","7.241410106420517","7.241410106420517","11.971389256417751","11.971389256417751","11.971389256417751","27.606946140527725","27.606946140527725","27.606946140527725","7.052351742982864","7.052351742982864","7.052351742982864","19.241359122097492","19.241359122097492","19.241359122097492","9.332544684410095","9.332544684410095","9.332544684410095"
"11","7.183551177382469","7.183551177382469","7.183551177382469","11.810798317193985","11.810798317193985","11.810798317193985","27.407615303993225","27.407615303993225","27.407615303993225","7.024683475494385","7.024683475494385","7.024683475494385","19.070404052734375","19.070404052734375","19.070404052734375","9.261699602007866","9.261699602007866","9.261699602007866"
"12","7.127354472875595","7.127354472875595","7.127354472875595","11.66160912066698","11.66160912066698","11.66160912066698","27.198313534259796","27.198313534259796","27.198313534259796","6.999668180942535","6.999668180942535","6.999668180942535","18.90623950958252","18.90623950958252","18.90623950958252","9.196806095540524","9.196806095540524","9.196806095540524"
"13","7.071038633584976","7.071038633584976","7.071038633584976","11.510307885706425","11.510307885706425","11.510307885706425","26.970865949988365","26.970865949988365","26.970865949988365","6.977690756320953","6.977690756320953","6.977690756320953","18.738772593438625","18.738772593438625","18.738772593438625","9.133466891944408","9.133466891944408","9.133466891944408"
"14","7.029613062739372","7.029613062739372","7.029613062739372","11.364904575049877","11.364904575049877","11.364904575049877","26.73375314474106","26.73375314474106","26.73375314474106","6.946883827447891","6.946883827447891","6.946883827447891","18.564406163990498","18.564406163990498","18.564406163990498","9.067405082285404","9.067405082285404","9.067405082285404"
"15","6.962539374828339","6.962539374828339","6.962539374828339","11.213128611445427","11.213128611445427","11.213128611445427","26.504582822322845","26.504582822322845","26.504582822322845","6.925584852695465","6.925584852695465","6.925584852695465","18.37979084253311","18.37979084253311","18.37979084253311","9.012794718146324","9.012794718146324","9.012794718146324"
"16","6.943402290344238","6.943402290344238","6.943402290344238","11.069324806332588","11.069324806332588","11.069324806332588","26.249025881290436","26.249025881290436","26.249025881290436","6.898581951856613","6.898581951856613","6.898581951856613","18.214172549545765","18.214172549545765","18.214172549545765","8.941489845514297","8.941489845514297","8.941489845514297"
"17","6.8738435208797455","6.8738435208797455","6.8738435208797455","10.93053089082241","10.93053089082241","10.93053089082241","25.988469287753105","25.988469287753105","25.988469287753105","6.865157932043076","6.865157932043076","6.865157932043076","18.057536765933037","18.057536765933037","18.057536765933037","8.888200387358665","8.888200387358665","8.888200387358665"
