"Step","stairs_pose_net_mobv3s - epoch/test_loss","stairs_pose_net_mobv3s - epoch/test_loss__MIN","stairs_pose_net_mobv3s - epoch/test_loss__MAX","pumpkin_pose_net_mobv3s - epoch/test_loss","pumpkin_pose_net_mobv3s - epoch/test_loss__MIN","pumpkin_pose_net_mobv3s - epoch/test_loss__MAX","office_pose_net_mobv3s - epoch/test_loss","office_pose_net_mobv3s - epoch/test_loss__MIN","office_pose_net_mobv3s - epoch/test_loss__MAX","heads_pose_net_mobv3s - epoch/test_loss","heads_pose_net_mobv3s - epoch/test_loss__MIN","heads_pose_net_mobv3s - epoch/test_loss__MAX","fire_pose_net_mobv3s - epoch/test_loss","fire_pose_net_mobv3s - epoch/test_loss__MIN","fire_pose_net_mobv3s - epoch/test_loss__MAX","chess_pose_net_mobv3s - epoch/test_loss","chess_pose_net_mobv3s - epoch/test_loss__MIN","chess_pose_net_mobv3s - epoch/test_loss__MAX"
"1","8.980594456195831","8.980594456195831","8.980594456195831","12.55910599976778","12.55910599976778","12.55910599976778","29.425962537527084","29.425962537527084","29.425962537527084","13.285913825035095","13.285913825035095","13.285913825035095","23.65905101597309","23.65905101597309","23.65905101597309","10.339222088456154","10.339222088456154","10.339222088456154"
"2","7.3200328052043915","7.3200328052043915","7.3200328052043915","13.167822301387787","13.167822301387787","13.167822301387787","29.08722423017025","29.08722423017025","29.08722423017025","12.419579982757568","12.419579982757568","12.419579982757568","22.858738899230957","22.858738899230957","22.858738899230957","10.118470132350922","10.118470132350922","10.118470132350922"
"3","7.902672290802002","7.902672290802002","7.902672290802002","13.11324194073677","13.11324194073677","13.11324194073677","28.83092652261257","28.83092652261257","28.83092652261257","10.092621088027954","10.092621088027954","10.092621088027954","21.778738759458065","21.778738759458065","21.778738759458065","10.066285870969296","10.066285870969296","10.066285870969296"
"4","8.510074466466904","8.510074466466904","8.510074466466904","12.778166443109512","12.778166443109512","12.778166443109512","28.747765451669693","28.747765451669693","28.747765451669693","8.639518022537231","8.639518022537231","8.639518022537231","21.238923579454422","21.238923579454422","21.238923579454422","10.023307591676712","10.023307591676712","10.023307591676712"
"5","8.926920413970947","8.926920413970947","8.926920413970947","12.562144666910172","12.562144666910172","12.562144666910172","28.68708474934101","28.68708474934101","28.68708474934101","7.961198687553406","7.961198687553406","7.961198687553406","21.00868632644415","21.00868632644415","21.00868632644415","9.981646724045277","9.981646724045277","9.981646724045277"
"6","9.181938588619232","9.181938588619232","9.181938588619232","12.478077568113804","12.478077568113804","12.478077568113804","28.535683035850525","28.535683035850525","28.535683035850525","7.65038526058197","7.65038526058197","7.65038526058197","20.88165535032749","20.88165535032749","20.88165535032749","9.93376637250185","9.93376637250185","9.93376637250185"
"7","9.286020696163177","9.286020696163177","9.286020696163177","12.466355755925179","12.466355755925179","12.466355755925179","28.277510687708855","28.277510687708855","28.277510687708855","7.512337535619736","7.512337535619736","7.512337535619736","20.7614411637187","20.7614411637187","20.7614411637187","9.876210704445839","9.876210704445839","9.876210704445839"
"8","9.151969581842422","9.151969581842422","9.151969581842422","12.455281600356102","12.455281600356102","12.455281600356102","28.017251208424568","28.017251208424568","28.017251208424568","7.470346391201019","7.470346391201019","7.470346391201019","20.640667513012886","20.640667513012886","20.640667513012886","9.808620229363441","9.808620229363441","9.808620229363441"
"9","9.056019395589828","9.056019395589828","9.056019395589828","12.393320180475712","12.393320180475712","12.393320180475712","27.815458923578262","27.815458923578262","27.815458923578262","7.4783875942230225","7.4783875942230225","7.4783875942230225","20.523609414696693","20.523609414696693","20.523609414696693","9.75522492825985","9.75522492825985","9.75522492825985"
"10","9.006288915872574","9.006288915872574","9.006288915872574","12.306445136666298","12.306445136666298","12.306445136666298","27.655876234173775","27.655876234173775","27.655876234173775","7.516748547554016","7.516748547554016","7.516748547554016","20.413370802998543","20.413370802998543","20.413370802998543","9.721568569540977","9.721568569540977","9.721568569540977"
"11","8.9629225730896","8.9629225730896","8.9629225730896","12.139881670475006","12.139881670475006","12.139881670475006","27.499184861779213","27.499184861779213","27.499184861779213","7.577043652534485","7.577043652534485","7.577043652534485","20.306275501847267","20.306275501847267","20.306275501847267","9.702189706265926","9.702189706265926","9.702189706265926"
"12","8.870695024728775","8.870695024728775","8.870695024728775","11.947202928364277","11.947202928364277","11.947202928364277","27.284665063023567","27.284665063023567","27.284665063023567","7.698422342538834","7.698422342538834","7.698422342538834","20.202051930129528","20.202051930129528","20.202051930129528","9.688209898769855","9.688209898769855","9.688209898769855"
"13","8.705000400543213","8.705000400543213","8.705000400543213","11.774975441396236","11.774975441396236","11.774975441396236","27.05883513391018","27.05883513391018","27.05883513391018","7.907594561576843","7.907594561576843","7.907594561576843","20.10491292178631","20.10491292178631","20.10491292178631","9.67484251409769","9.67484251409769","9.67484251409769"
"14","8.531542867422104","8.531542867422104","8.531542867422104","11.60841903090477","11.60841903090477","11.60841903090477","26.84932279586792","26.84932279586792","26.84932279586792","8.240085780620575","8.240085780620575","8.240085780620575","20.030310288071632","20.030310288071632","20.030310288071632","9.660813309252262","9.660813309252262","9.660813309252262"
"15","8.380684733390808","8.380684733390808","8.380684733390808","11.4787008613348","11.4787008613348","11.4787008613348","26.65260975062847","26.65260975062847","26.65260975062847","8.683581918478012","8.683581918478012","8.683581918478012","19.973915569484234","19.973915569484234","19.973915569484234","9.6461685821414","9.6461685821414","9.6461685821414"
"16","8.264599561691284","8.264599561691284","8.264599561691284","11.382159620523453","11.382159620523453","11.382159620523453","26.448629409074783","26.448629409074783","26.448629409074783","9.137588202953339","9.137588202953339","9.137588202953339","19.929537661373615","19.929537661373615","19.929537661373615","9.630976915359497","9.630976915359497","9.630976915359497"
"17","8.225785717368126","8.225785717368126","8.225785717368126","11.30385147035122","11.30385147035122","11.30385147035122","26.235975071787834","26.235975071787834","26.235975071787834","9.51496034860611","9.51496034860611","9.51496034860611","19.879915818572044","19.879915818572044","19.879915818572044","9.61487552523613","9.61487552523613","9.61487552523613"
"18","8.163065522909164","8.163065522909164","8.163065522909164","11.232368558645248","11.232368558645248","11.232368558645248","26.01554597914219","26.01554597914219","26.01554597914219","9.79027509689331","9.79027509689331","9.79027509689331","19.82709250599146","19.82709250599146","19.82709250599146","9.59825636446476","9.59825636446476","9.59825636446476"
"19","8.102063298225403","8.102063298225403","8.102063298225403","11.161872111260891","11.161872111260891","11.161872111260891","25.768246352672577","25.768246352672577","25.768246352672577","9.990412771701813","9.990412771701813","9.990412771701813","19.775878742337227","19.775878742337227","19.775878742337227","9.580963753163815","9.580963753163815","9.580963753163815"
"20","8.040565341711044","8.040565341711044","8.040565341711044","11.089003346860409","11.089003346860409","11.089003346860409","25.49712584912777","25.49712584912777","25.49712584912777","10.133219867944717","10.133219867944717","10.133219867944717","19.727421201765537","19.727421201765537","19.727421201765537","9.562545634806156","9.562545634806156","9.562545634806156"
