"Step","stairs_pose_net_r34 - epoch/test_loss","stairs_pose_net_r34 - epoch/test_loss__MIN","stairs_pose_net_r34 - epoch/test_loss__MAX","pumpkin_pose_net_r34 - epoch/test_loss","pumpkin_pose_net_r34 - epoch/test_loss__MIN","pumpkin_pose_net_r34 - epoch/test_loss__MAX","office_pose_net_r34 - epoch/test_loss","office_pose_net_r34 - epoch/test_loss__MIN","office_pose_net_r34 - epoch/test_loss__MAX","heads_pose_net_r34 - epoch/test_loss","heads_pose_net_r34 - epoch/test_loss__MIN","heads_pose_net_r34 - epoch/test_loss__MAX","fire_pose_net_r34 - epoch/test_loss","fire_pose_net_r34 - epoch/test_loss__MIN","fire_pose_net_r34 - epoch/test_loss__MAX","chess_pose_net_r34 - epoch/test_loss","chess_pose_net_r34 - epoch/test_loss__MIN","chess_pose_net_r34 - epoch/test_loss__MAX"
"1","14.757007956504822","14.757007956504822","14.757007956504822","15.835412308573723","15.835412308573723","15.835412308573723","29.802707105875015","29.802707105875015","29.802707105875015","8.763980150222778","8.763980150222778","8.763980150222778","19.32068210095167","19.32068210095167","19.32068210095167","10.05157183855772","10.05157183855772","10.05157183855772"
"2","10.256648302078247","10.256648302078247","10.256648302078247","13.767246954143047","13.767246954143047","13.767246954143047","29.51838082075119","29.51838082075119","29.51838082075119","7.555172711610794","7.555172711610794","7.555172711610794","19.813075352460146","19.813075352460146","19.813075352460146","9.758851155638695","9.758851155638695","9.758851155638695"
"3","8.238944962620735","8.238944962620735","8.238944962620735","13.410467743873596","13.410467743873596","13.410467743873596","29.373275727033615","29.373275727033615","29.373275727033615","7.398986399173737","7.398986399173737","7.398986399173737","20.289211623370647","20.289211623370647","20.289211623370647","9.744800947606564","9.744800947606564","9.744800947606564"
"4","7.515512585639954","7.515512585639954","7.515512585639954","13.322108834981918","13.322108834981918","13.322108834981918","29.2714122235775","29.2714122235775","29.2714122235775","7.478304639458656","7.478304639458656","7.478304639458656","20.572539024055004","20.572539024055004","20.572539024055004","9.706890851259232","9.706890851259232","9.706890851259232"
"5","7.250057399272919","7.250057399272919","7.250057399272919","13.213901273906231","13.213901273906231","13.213901273906231","29.177927300333977","29.177927300333977","29.177927300333977","7.581637725234032","7.581637725234032","7.581637725234032","20.708238065242767","20.708238065242767","20.708238065242767","9.66670560836792","9.66670560836792","9.66670560836792"
"6","7.148436918854713","7.148436918854713","7.148436918854713","13.098381087183952","13.098381087183952","13.098381087183952","29.08230160176754","29.08230160176754","29.08230160176754","7.651446416974068","7.651446416974068","7.651446416974068","20.75576339662075","20.75576339662075","20.75576339662075","9.628163628280163","9.628163628280163","9.628163628280163"
"7","7.109079286456108","7.109079286456108","7.109079286456108","12.984189748764038","12.984189748764038","12.984189748764038","28.984785169363022","28.984785169363022","28.984785169363022","7.687858983874321","7.687858983874321","7.687858983874321","20.757681168615818","20.757681168615818","20.757681168615818","9.590193510055542","9.590193510055542","9.590193510055542"
"8","7.0911247581243515","7.0911247581243515","7.0911247581243515","12.872091643512249","12.872091643512249","12.872091643512249","28.88326859474182","28.88326859474182","28.88326859474182","7.702822029590607","7.702822029590607","7.702822029590607","20.738398283720016","20.738398283720016","20.738398283720016","9.552280478179455","9.552280478179455","9.552280478179455"
"9","7.079383820295334","7.079383820295334","7.079383820295334","12.76015905290842","12.76015905290842","12.76015905290842","28.7783762216568","28.7783762216568","28.7783762216568","7.704893082380295","7.704893082380295","7.704893082380295","20.709639325737953","20.709639325737953","20.709639325737953","9.514168575406075","9.514168575406075","9.514168575406075"
"10","7.06851364672184","7.06851364672184","7.06851364672184","12.64813020825386","12.64813020825386","12.64813020825386","28.668121352791786","28.668121352791786","28.668121352791786","7.699834480881691","7.699834480881691","7.699834480881691","20.67690435796976","20.67690435796976","20.67690435796976","9.475703418254852","9.475703418254852","9.475703418254852"
