"Step","stairs_pose_net_effb0 - epoch/test_loss","stairs_pose_net_effb0 - epoch/test_loss__MIN","stairs_pose_net_effb0 - epoch/test_loss__MAX","pumpkin_pose_net_effb0 - epoch/test_loss","pumpkin_pose_net_effb0 - epoch/test_loss__MIN","pumpkin_pose_net_effb0 - epoch/test_loss__MAX","office_pose_net_effb0 - epoch/test_loss","office_pose_net_effb0 - epoch/test_loss__MIN","office_pose_net_effb0 - epoch/test_loss__MAX","heads_pose_net_effb0 - epoch/test_loss","heads_pose_net_effb0 - epoch/test_loss__MIN","heads_pose_net_effb0 - epoch/test_loss__MAX","fire_pose_net_effb0 - epoch/test_loss","fire_pose_net_effb0 - epoch/test_loss__MIN","fire_pose_net_effb0 - epoch/test_loss__MAX","chess_pose_net_effb0 - epoch/test_loss","chess_pose_net_effb0 - epoch/test_loss__MIN","chess_pose_net_effb0 - epoch/test_loss__MAX"
"32","5.512966588139534","5.512966588139534","5.512966588139534","7.54419906437397","7.54419906437397","7.54419906437397","16.59812381118536","16.59812381118536","16.59812381118536","6.384605318307877","6.384605318307877","6.384605318307877","13.930718451738358","13.930718451738358","13.930718451738358","7.336537286639214","7.336537286639214","7.336537286639214"
"33","5.436221078038216","5.436221078038216","5.436221078038216","7.412915267050266","7.412915267050266","7.412915267050266","16.457074970006943","16.457074970006943","16.457074970006943","6.34716859459877","6.34716859459877","6.34716859459877","13.658791944384575","13.658791944384575","13.658791944384575","7.225519873201847","7.225519873201847","7.225519873201847"
"34","5.339495405554771","5.339495405554771","5.339495405554771","7.303291343152523","7.303291343152523","7.303291343152523","16.33051622658968","16.33051622658968","16.33051622658968","6.3198952078819275","6.3198952078819275","6.3198952078819275","13.426745608448982","13.426745608448982","13.426745608448982","7.13025639206171","7.13025639206171","7.13025639206171"
"35","5.307278022170067","5.307278022170067","5.307278022170067","7.216398172080517","7.216398172080517","7.216398172080517","15.904626727104187","15.904626727104187","15.904626727104187","6.291687577962875","6.291687577962875","6.291687577962875","13.238049447536469","13.238049447536469","13.238049447536469","6.990675017237663","6.990675017237663","6.990675017237663"
"36","5.2437631487846375","5.2437631487846375","5.2437631487846375","7.080451533198357","7.080451533198357","7.080451533198357","15.8225227445364","15.8225227445364","15.8225227445364","6.269887387752533","6.269887387752533","6.269887387752533","13.00283444672823","13.00283444672823","13.00283444672823","6.865823484957218","6.865823484957218","6.865823484957218"
"37","5.168900057673454","5.168900057673454","5.168900057673454","7.015106946229935","7.015106946229935","7.015106946229935","15.812961332499981","15.812961332499981","15.812961332499981","6.243944555521011","6.243944555521011","6.243944555521011","12.885406017303467","12.885406017303467","12.885406017303467","6.74653360247612","6.74653360247612","6.74653360247612"
"38","5.107603803277016","5.107603803277016","5.107603803277016","6.941505447030067","6.941505447030067","6.941505447030067","16.16180708259344","16.16180708259344","16.16180708259344","6.214037388563156","6.214037388563156","6.214037388563156","12.74641826748848","12.74641826748848","12.74641826748848","6.60640786588192","6.60640786588192","6.60640786588192"
"39","5.047436237335205","5.047436237335205","5.047436237335205","6.8323060646653175","6.8323060646653175","6.8323060646653175","15.764946267008781","15.764946267008781","15.764946267008781","6.185564681887627","6.185564681887627","6.185564681887627","12.688311770558357","12.688311770558357","12.688311770558357","6.486373968422413","6.486373968422413","6.486373968422413"
"40","4.985987216234207","4.985987216234207","4.985987216234207","6.782578259706497","6.782578259706497","6.782578259706497","16.04326670616865","16.04326670616865","16.04326670616865","6.1535807102918625","6.1535807102918625","6.1535807102918625","12.581962116062641","12.581962116062641","12.581962116062641","6.364014744758606","6.364014744758606","6.364014744758606"
"41","4.9407703429460526","4.9407703429460526","4.9407703429460526","6.749026171863079","6.749026171863079","6.749026171863079","16.167250476777554","16.167250476777554","16.167250476777554","6.120786413550377","6.120786413550377","6.120786413550377","12.571260772645473","12.571260772645473","12.571260772645473","6.245068110525608","6.245068110525608","6.245068110525608"
"42","4.902300909161568","4.902300909161568","4.902300909161568","6.680967792868614","6.680967792868614","6.680967792868614","16.340392291545868","16.340392291545868","16.340392291545868","6.087393149733543","6.087393149733543","6.087393149733543","12.531866997480392","12.531866997480392","12.531866997480392","6.127971097826958","6.127971097826958","6.127971097826958"
"43","4.878639578819275","4.878639578819275","4.878639578819275","6.600964032113552","6.600964032113552","6.600964032113552","16.44094244390726","16.44094244390726","16.44094244390726","6.076606407761574","6.076606407761574","6.076606407761574","12.550431475043297","12.550431475043297","12.550431475043297","6.014896504580975","6.014896504580975","6.014896504580975"
"44","4.836017519235611","4.836017519235611","4.836017519235611","6.581152103841305","6.581152103841305","6.581152103841305","16.557819113135338","16.557819113135338","16.557819113135338","6.0530349016189575","6.0530349016189575","6.0530349016189575","12.664789497852325","12.664789497852325","12.664789497852325","5.8877479285001755","5.8877479285001755","5.8877479285001755"
