"Step","stairs_pose_net_mobv3l - epoch/test_loss","stairs_pose_net_mobv3l - epoch/test_loss__MIN","stairs_pose_net_mobv3l - epoch/test_loss__MAX","pumpkin_pose_net_mobv3l - epoch/test_loss","pumpkin_pose_net_mobv3l - epoch/test_loss__MIN","pumpkin_pose_net_mobv3l - epoch/test_loss__MAX","office_pose_net_mobv3l - epoch/test_loss","office_pose_net_mobv3l - epoch/test_loss__MIN","office_pose_net_mobv3l - epoch/test_loss__MAX","heads_pose_net_mobv3l - epoch/test_loss","heads_pose_net_mobv3l - epoch/test_loss__MIN","heads_pose_net_mobv3l - epoch/test_loss__MAX","fire_pose_net_mobv3l - epoch/test_loss","fire_pose_net_mobv3l - epoch/test_loss__MIN","fire_pose_net_mobv3l - epoch/test_loss__MAX","chess_pose_net_mobv3l - epoch/test_loss","chess_pose_net_mobv3l - epoch/test_loss__MIN","chess_pose_net_mobv3l - epoch/test_loss__MAX"
"1","8.036897152662277","8.036897152662277","8.036897152662277","14.054109811782837","14.054109811782837","14.054109811782837","29.97991842031479","29.97991842031479","29.97991842031479","9.748048603534698","9.748048603534698","9.748048603534698","24.973691284656525","24.973691284656525","24.973691284656525","9.820813968777657","9.820813968777657","9.820813968777657"
"2","8.616345062851906","8.616345062851906","8.616345062851906","13.484841108322144","13.484841108322144","13.484841108322144","29.887947887182236","29.887947887182236","29.887947887182236","7.67030157148838","7.67030157148838","7.67030157148838","23.42002284526825","23.42002284526825","23.42002284526825","9.923720620572567","9.923720620572567","9.923720620572567"
"3","9.039903998374939","9.039903998374939","9.039903998374939","14.006354942917824","14.006354942917824","14.006354942917824","29.95313711464405","29.95313711464405","29.95313711464405","8.803601533174515","8.803601533174515","8.803601533174515","22.06477027386427","22.06477027386427","22.06477027386427","9.951035812497139","9.951035812497139","9.951035812497139"
"4","9.372128009796143","9.372128009796143","9.372128009796143","13.562992706894875","13.562992706894875","13.562992706894875","29.758391946554184","29.758391946554184","29.758391946554184","9.40443441271782","9.40443441271782","9.40443441271782","21.45456051826477","21.45456051826477","21.45456051826477","9.943617522716522","9.943617522716522","9.943617522716522"
"5","9.413795441389084","9.413795441389084","9.413795441389084","12.31408628821373","12.31408628821373","12.31408628821373","29.511845618486404","29.511845618486404","29.511845618486404","8.993788212537766","8.993788212537766","8.993788212537766","21.358986102044582","21.358986102044582","21.358986102044582","9.89898420125246","9.89898420125246","9.89898420125246"
"6","8.490445911884308","8.490445911884308","8.490445911884308","12.209140665829182","12.209140665829182","12.209140665829182","29.3063383102417","29.3063383102417","29.3063383102417","8.307546317577362","8.307546317577362","8.307546317577362","21.368710167706013","21.368710167706013","21.368710167706013","9.817395098507404","9.817395098507404","9.817395098507404"
"7","8.141503036022186","8.141503036022186","8.141503036022186","12.380765296518803","12.380765296518803","12.380765296518803","29.077342554926872","29.077342554926872","29.077342554926872","7.816973477602005","7.816973477602005","7.816973477602005","21.399578973650932","21.399578973650932","21.399578973650932","9.746433556079865","9.746433556079865","9.746433556079865"
"8","7.712990969419479","7.712990969419479","7.712990969419479","12.774175181984901","12.774175181984901","12.774175181984901","28.98984245955944","28.98984245955944","28.98984245955944","7.5663730055093765","7.5663730055093765","7.5663730055093765","21.50682693719864","21.50682693719864","21.50682693719864","9.69332431256771","9.69332431256771","9.69332431256771"
"9","7.666634574532509","7.666634574532509","7.666634574532509","12.993115052580833","12.993115052580833","12.993115052580833","28.905740082263947","28.905740082263947","28.905740082263947","7.464196130633354","7.464196130633354","7.464196130633354","21.50610400736332","21.50610400736332","21.50610400736332","9.6334955021739","9.6334955021739","9.6334955021739"
"10","7.630701318383217","7.630701318383217","7.630701318383217","12.800824128091335","12.800824128091335","12.800824128091335","28.637077391147614","28.637077391147614","28.637077391147614","7.433154672384262","7.433154672384262","7.433154672384262","21.43978936225176","21.43978936225176","21.43978936225176","9.569956317543983","9.569956317543983","9.569956317543983"
"11","7.664777159690857","7.664777159690857","7.664777159690857","12.385387063026428","12.385387063026428","12.385387063026428","28.447784930467606","28.447784930467606","28.447784930467606","7.411685019731522","7.411685019731522","7.411685019731522","21.317984886467457","21.317984886467457","21.317984886467457","9.496581703424454","9.496581703424454","9.496581703424454"
"12","7.651273965835571","7.651273965835571","7.651273965835571","12.11585846543312","12.11585846543312","12.11585846543312","28.30201092362404","28.30201092362404","28.30201092362404","7.36684076488018","7.36684076488018","7.36684076488018","21.170239120721817","21.170239120721817","21.170239120721817","9.422267332673073","9.422267332673073","9.422267332673073"
"13","7.72961363196373","7.72961363196373","7.72961363196373","11.915455371141434","11.915455371141434","11.915455371141434","28.176655396819115","28.176655396819115","28.176655396819115","7.313818112015724","7.313818112015724","7.313818112015724","20.98430024832487","20.98430024832487","20.98430024832487","9.351662300527096","9.351662300527096","9.351662300527096"
"14","7.896947801113129","7.896947801113129","7.896947801113129","11.744389586150646","11.744389586150646","11.744389586150646","28.063981011509895","28.063981011509895","28.063981011509895","7.25044247508049","7.25044247508049","7.25044247508049","20.790288999676704","20.790288999676704","20.790288999676704","9.289745107293129","9.289745107293129","9.289745107293129"
"15","8.139606416225433","8.139606416225433","8.139606416225433","11.605647906661034","11.605647906661034","11.605647906661034","27.959613278508186","27.959613278508186","27.959613278508186","7.192054837942123","7.192054837942123","7.192054837942123","20.60740054398775","20.60740054398775","20.60740054398775","9.235467672348022","9.235467672348022","9.235467672348022"
"16","8.210578739643097","8.210578739643097","8.210578739643097","11.484977304935455","11.484977304935455","11.484977304935455","27.8553756326437","27.8553756326437","27.8553756326437","7.144565790891647","7.144565790891647","7.144565790891647","20.403767623007298","20.403767623007298","20.403767623007298","9.18817812949419","9.18817812949419","9.18817812949419"
"17","8.056940913200378","8.056940913200378","8.056940913200378","11.37564568221569","11.37564568221569","11.37564568221569","27.747589722275734","27.747589722275734","27.747589722275734","7.104927435517311","7.104927435517311","7.104927435517311","20.149765633046627","20.149765633046627","20.149765633046627","9.145217038691044","9.145217038691044","9.145217038691044"
"18","8.205279409885406","8.205279409885406","8.205279409885406","11.269289508461952","11.269289508461952","11.269289508461952","27.63464191555977","27.63464191555977","27.63464191555977","7.070460334420204","7.070460334420204","7.070460334420204","19.981045596301556","19.981045596301556","19.981045596301556","9.103386886417866","9.103386886417866","9.103386886417866"
"19","8.561480849981308","8.561480849981308","8.561480849981308","11.165199562907219","11.165199562907219","11.165199562907219","27.514483526349068","27.514483526349068","27.514483526349068","7.031399980187416","7.031399980187416","7.031399980187416","19.83859959244728","19.83859959244728","19.83859959244728","9.059543929994106","9.059543929994106","9.059543929994106"
"20","8.656307399272919","8.656307399272919","8.656307399272919","11.059446208178997","11.059446208178997","11.059446208178997","27.38896282017231","27.38896282017231","27.38896282017231","6.990273341536522","6.990273341536522","6.990273341536522","19.7407783344388","19.7407783344388","19.7407783344388","9.016709953546524","9.016709953546524","9.016709953546524"
