"Step","stairs_pose_net_g - epoch/test_loss","stairs_pose_net_g - epoch/test_loss__MIN","stairs_pose_net_g - epoch/test_loss__MAX","pumpkin_pose_net_g - epoch/test_loss","pumpkin_pose_net_g - epoch/test_loss__MIN","pumpkin_pose_net_g - epoch/test_loss__MAX","office_pose_net_g - epoch/test_loss","office_pose_net_g - epoch/test_loss__MIN","office_pose_net_g - epoch/test_loss__MAX","heads_pose_net_g - epoch/test_loss","heads_pose_net_g - epoch/test_loss__MIN","heads_pose_net_g - epoch/test_loss__MAX","fire_pose_net_g - epoch/test_loss","fire_pose_net_g - epoch/test_loss__MIN","fire_pose_net_g - epoch/test_loss__MAX","chess_pose_net_g - epoch/test_loss","chess_pose_net_g - epoch/test_loss__MIN","chess_pose_net_g - epoch/test_loss__MAX"
"11","7.35994778573513","7.35994778573513","7.35994778573513","12.703985966742039","12.703985966742039","12.703985966742039","29.395707294344902","29.395707294344902","29.395707294344902","7.493354976177216","7.493354976177216","7.493354976177216","20.35561391711235","20.35561391711235","20.35561391711235","9.647484213113785","9.647484213113785","9.647484213113785"
"12","7.336183622479439","7.336183622479439","7.336183622479439","12.636278070509434","12.636278070509434","12.636278070509434","29.37387950718403","29.37387950718403","29.37387950718403","7.472751572728157","7.472751572728157","7.472751572728157","20.315041407942772","20.315041407942772","20.315041407942772","9.62611622363329","9.62611622363329","9.62611622363329"
"13","7.309603303670883","7.309603303670883","7.309603303670883","12.571195341646671","12.571195341646671","12.571195341646671","29.35180227458477","29.35180227458477","29.35180227458477","7.456045717000961","7.456045717000961","7.456045717000961","20.27226532995701","20.27226532995701","20.27226532995701","9.604999534785748","9.604999534785748","9.604999534785748"
"14","7.285703167319298","7.285703167319298","7.285703167319298","12.510140284895897","12.510140284895897","12.510140284895897","29.328253835439682","29.328253835439682","29.328253835439682","7.44205629825592","7.44205629825592","7.44205629825592","20.234417103230953","20.234417103230953","20.234417103230953","9.58466562628746","9.58466562628746","9.58466562628746"
"15","7.263846457004547","7.263846457004547","7.263846457004547","12.451639547944069","12.451639547944069","12.451639547944069","29.30400563776493","29.30400563776493","29.30400563776493","7.430014371871948","7.430014371871948","7.430014371871948","20.199864476919174","20.199864476919174","20.199864476919174","9.563290171325207","9.563290171325207","9.563290171325207"
"16","7.246741130948067","7.246741130948067","7.246741130948067","12.38137012720108","12.38137012720108","12.38137012720108","29.27929177880287","29.27929177880287","29.27929177880287","7.419186666607857","7.419186666607857","7.419186666607857","20.16320225596428","20.16320225596428","20.16320225596428","9.542624421417713","9.542624421417713","9.542624421417713"
"17","7.230161756277084","7.230161756277084","7.230161756277084","12.315952770411968","12.315952770411968","12.315952770411968","29.254534378647804","29.254534378647804","29.254534378647804","7.409899324178696","7.409899324178696","7.409899324178696","20.12686002254486","20.12686002254486","20.12686002254486","9.52364867925644","9.52364867925644","9.52364867925644"
"18","7.215531304478645","7.215531304478645","7.215531304478645","12.246878705918789","12.246878705918789","12.246878705918789","29.22938348352909","29.22938348352909","29.22938348352909","7.401653930544853","7.401653930544853","7.401653930544853","20.08702677488327","20.08702677488327","20.08702677488327","9.504287019371986","9.504287019371986","9.504287019371986"
"19","7.200215712189674","7.200215712189674","7.200215712189674","12.18193855136633","12.18193855136633","12.18193855136633","29.204392835497856","29.204392835497856","29.204392835497856","7.39401051402092","7.39401051402092","7.39401051402092","20.05336306244135","20.05336306244135","20.05336306244135","9.482340209186077","9.482340209186077","9.482340209186077"
"20","7.186045914888382","7.186045914888382","7.186045914888382","12.115151226520538","12.115151226520538","12.115151226520538","29.178241908550262","29.178241908550262","29.178241908550262","7.386456415057182","7.386456415057182","7.386456415057182","20.013975478708744","20.013975478708744","20.013975478708744","9.463840529322624","9.463840529322624","9.463840529322624"
"21","7.17457415163517","7.17457415163517","7.17457415163517","12.052283748984337","12.052283748984337","12.052283748984337","29.15212182700634","29.15212182700634","29.15212182700634","7.37819242477417","7.37819242477417","7.37819242477417","19.975455798208714","19.975455798208714","19.975455798208714","9.443012729287148","9.443012729287148","9.443012729287148"
"22","7.164127141237259","7.164127141237259","7.164127141237259","11.987739097326994","11.987739097326994","11.987739097326994","29.12600964307785","29.12600964307785","29.12600964307785","7.369723692536354","7.369723692536354","7.369723692536354","19.93538648635149","19.93538648635149","19.93538648635149","9.422469206154346","9.422469206154346","9.422469206154346"
"23","7.156101047992706","7.156101047992706","7.156101047992706","11.919966589659452","11.919966589659452","11.919966589659452","29.096804335713387","29.096804335713387","29.096804335713387","7.361148416996002","7.361148416996002","7.361148416996002","19.897908732295036","19.897908732295036","19.897908732295036","9.402837976813316","9.402837976813316","9.402837976813316"
"24","7.142862975597382","7.142862975597382","7.142862975597382","11.848335288465023","11.848335288465023","11.848335288465023","29.06917956471443","29.06917956471443","29.06917956471443","7.352016165852547","7.352016165852547","7.352016165852547","19.86124325543642","19.86124325543642","19.86124325543642","9.381895877420902","9.381895877420902","9.381895877420902"
"25","7.131733700633049","7.131733700633049","7.131733700633049","11.778930511325598","11.778930511325598","11.778930511325598","29.040478870272636","29.040478870272636","29.040478870272636","7.34250009059906","7.34250009059906","7.34250009059906","19.821387834846973","19.821387834846973","19.821387834846973","9.360435456037521","9.360435456037521","9.360435456037521"
"26","7.121106520295143","7.121106520295143","7.121106520295143","11.70758131891489","11.70758131891489","11.70758131891489","29.00996458530426","29.00996458530426","29.00996458530426","7.333039492368698","7.333039492368698","7.333039492368698","19.780983589589596","19.780983589589596","19.780983589589596","9.339422583580017","9.339422583580017","9.339422583580017"
"27","7.1109908670187","7.1109908670187","7.1109908670187","11.632101733237505","11.632101733237505","11.632101733237505","28.979673504829407","28.979673504829407","28.979673504829407","7.323549076914787","7.323549076914787","7.323549076914787","19.7399061024189","19.7399061024189","19.7399061024189","9.317209638655186","9.317209638655186","9.317209638655186"
"28","7.101094722747803","7.101094722747803","7.101094722747803","11.552839696407318","11.552839696407318","11.552839696407318","28.94851517677307","28.94851517677307","28.94851517677307","7.314187929034233","7.314187929034233","7.314187929034233","19.701204761862755","19.701204761862755","19.701204761862755","9.294617481529713","9.294617481529713","9.294617481529713"
"29","7.092738002538681","7.092738002538681","7.092738002538681","11.477136019617319","11.477136019617319","11.477136019617319","28.91866908967495","28.91866908967495","28.91866908967495","7.304522767663002","7.304522767663002","7.304522767663002","19.660217069089413","19.660217069089413","19.660217069089413","9.272568590939045","9.272568590939045","9.272568590939045"
