"Step","stairs_pose_net_r34 - epoch/test_translation_loss","stairs_pose_net_r34 - epoch/test_translation_loss__MIN","stairs_pose_net_r34 - epoch/test_translation_loss__MAX","pumpkin_pose_net_r34 - epoch/test_translation_loss","pumpkin_pose_net_r34 - epoch/test_translation_loss__MIN","pumpkin_pose_net_r34 - epoch/test_translation_loss__MAX","office_pose_net_r34 - epoch/test_translation_loss","office_pose_net_r34 - epoch/test_translation_loss__MIN","office_pose_net_r34 - epoch/test_translation_loss__MAX","heads_pose_net_r34 - epoch/test_translation_loss","heads_pose_net_r34 - epoch/test_translation_loss__MIN","heads_pose_net_r34 - epoch/test_translation_loss__MAX","fire_pose_net_r34 - epoch/test_translation_loss","fire_pose_net_r34 - epoch/test_translation_loss__MIN","fire_pose_net_r34 - epoch/test_translation_loss__MAX","chess_pose_net_r34 - epoch/test_translation_loss","chess_pose_net_r34 - epoch/test_translation_loss__MIN","chess_pose_net_r34 - epoch/test_translation_loss__MAX"
"1","0.6185667216777802","0.6185667216777802","0.6185667216777802","0.39906061813235283","0.39906061813235283","0.39906061813235283","0.5202147830277681","0.5202147830277681","0.5202147830277681","0.16669413167983294","0.16669413167983294","0.16669413167983294","0.4021320319734514","0.4021320319734514","0.4021320319734514","0.3940721647813916","0.3940721647813916","0.3940721647813916"
"2","0.45499754697084427","0.45499754697084427","0.45499754697084427","0.29211891582235694","0.29211891582235694","0.29211891582235694","0.33958781813271344","0.33958781813271344","0.33958781813271344","0.1455386746674776","0.1455386746674776","0.1455386746674776","0.3168598513584584","0.3168598513584584","0.3168598513584584","0.2807419700548053","0.2807419700548053","0.2807419700548053"
"3","0.3643121775239706","0.3643121775239706","0.3643121775239706","0.2658644821494818","0.2658644821494818","0.2658644821494818","0.3172337373252958","0.3172337373252958","0.3172337373252958","0.13942322600632906","0.13942322600632906","0.13942322600632906","0.264696225291118","0.264696225291118","0.264696225291118","0.2523189624771476","0.2523189624771476","0.2523189624771476"
"4","0.31321205850690603","0.31321205850690603","0.31321205850690603","0.2571160327643156","0.2571160327643156","0.2571160327643156","0.31621021730825305","0.31621021730825305","0.31621021730825305","0.13035596394911408","0.13035596394911408","0.13035596394911408","0.2396739332471043","0.2396739332471043","0.2396739332471043","0.2469231439754367","0.2469231439754367","0.2469231439754367"
"5","0.2908046501688659","0.2908046501688659","0.2908046501688659","0.2533370181918144","0.2533370181918144","0.2533370181918144","0.31690081488341093","0.31690081488341093","0.31690081488341093","0.12513468461111188","0.12513468461111188","0.12513468461111188","0.22870357264764607","0.22870357264764607","0.22870357264764607","0.2456294633448124","0.2456294633448124","0.2456294633448124"
"6","0.27995377872139215","0.27995377872139215","0.27995377872139215","0.25139111233875155","0.25139111233875155","0.25139111233875155","0.31706779170781374","0.31706779170781374","0.31706779170781374","0.12255257274955511","0.12255257274955511","0.12255257274955511","0.22358730481937528","0.22358730481937528","0.22358730481937528","0.24498428497463465","0.24498428497463465","0.24498428497463465"
"7","0.27409613225609064","0.27409613225609064","0.27409613225609064","0.25019441079348326","0.25019441079348326","0.25019441079348326","0.316858334466815","0.316858334466815","0.316858334466815","0.1210175477899611","0.1210175477899611","0.1210175477899611","0.22093877429142594","0.22093877429142594","0.22093877429142594","0.24439642298966646","0.24439642298966646","0.24439642298966646"
"8","0.27068618778139353","0.27068618778139353","0.27068618778139353","0.24934913450852036","0.24934913450852036","0.24934913450852036","0.3165668584406376","0.3165668584406376","0.3165668584406376","0.11988226138055325","0.11988226138055325","0.11988226138055325","0.21938292076811194","0.21938292076811194","0.21938292076811194","0.24380361940711737","0.24380361940711737","0.24380361940711737"
"9","0.2686357218772173","0.2686357218772173","0.2686357218772173","0.24865473294630647","0.24865473294630647","0.24865473294630647","0.31622184650041163","0.31622184650041163","0.31622184650041163","0.1190730701200664","0.1190730701200664","0.1190730701200664","0.2183520260732621","0.2183520260732621","0.2183520260732621","0.24320729076862335","0.24320729076862335","0.24320729076862335"
"10","0.2672636704519391","0.2672636704519391","0.2672636704519391","0.24804834788665175","0.24804834788665175","0.24804834788665175","0.31585538829676807","0.31585538829676807","0.31585538829676807","0.11851823003962636","0.11851823003962636","0.11851823003962636","0.21761555457487702","0.21761555457487702","0.21761555457487702","0.2426062561571598","0.2426062561571598","0.2426062561571598"
"11","0.26634488720446825","0.26634488720446825","0.26634488720446825","0.24747617077082396","0.24747617077082396","0.24747617077082396","0.3155922151636332","0.3155922151636332","0.3155922151636332","0.11819079658016562","0.11819079658016562","0.11819079658016562","0.2170153190381825","0.2170153190381825","0.2170153190381825","0.24199450388550758","0.24199450388550758","0.24199450388550758"
"12","0.2657183688133955","0.2657183688133955","0.2657183688133955","0.2469367990270257","0.2469367990270257","0.2469367990270257","0.3153089047409594","0.3153089047409594","0.3153089047409594","0.11800271971151233","0.11800271971151233","0.11800271971151233","0.2164966738782823","0.2164966738782823","0.2164966738782823","0.241376674734056","0.241376674734056","0.241376674734056"
"13","0.26524891052395105","0.26524891052395105","0.26524891052395105","0.24641863722354174","0.24641863722354174","0.24641863722354174","0.31502156192436814","0.31502156192436814","0.31502156192436814","0.1178700290620327","0.1178700290620327","0.1178700290620327","0.21602355572395027","0.21602355572395027","0.21602355572395027","0.24076255317777395","0.24076255317777395","0.24076255317777395"
"14","0.2648639567196369","0.2648639567196369","0.2648639567196369","0.2458854103460908","0.2458854103460908","0.2458854103460908","0.31474081170745194","0.31474081170745194","0.31474081170745194","0.1177755487151444","0.1177755487151444","0.1177755487151444","0.21559438854455948","0.21559438854455948","0.21559438854455948","0.24014998320490122","0.24014998320490122","0.24014998320490122"
"15","0.2645435594022274","0.2645435594022274","0.2645435594022274","0.24541175225749612","0.24541175225749612","0.24541175225749612","0.314468115568161","0.314468115568161","0.314468115568161","0.11768046906217933","0.11768046906217933","0.11768046906217933","0.21517382469028234","0.21517382469028234","0.21517382469028234","0.23952336516231298","0.23952336516231298","0.23952336516231298"
"16","0.26428535114973783","0.26428535114973783","0.26428535114973783","0.2449354473501444","0.2449354473501444","0.2449354473501444","0.31424444261938334","0.31424444261938334","0.31424444261938334","0.11757085472345352","0.11757085472345352","0.11757085472345352","0.21478593372739851","0.21478593372739851","0.21478593372739851","0.23890198674052954","0.23890198674052954","0.23890198674052954"
"17","0.26406071055680513","0.26406071055680513","0.26406071055680513","0.2444876553490758","0.2444876553490758","0.2444876553490758","0.31403314881026745","0.31403314881026745","0.31403314881026745","0.11746303364634514","0.11746303364634514","0.11746303364634514","0.2143896243069321","0.2143896243069321","0.2143896243069321","0.2383025037124753","0.2383025037124753","0.2383025037124753"
"18","0.2637936342507601","0.2637936342507601","0.2637936342507601","0.24401614861562848","0.24401614861562848","0.24401614861562848","0.3139490745961666","0.3139490745961666","0.3139490745961666","0.11733618564903736","0.11733618564903736","0.11733618564903736","0.21402180520817637","0.21402180520817637","0.21402180520817637","0.23771795723587275","0.23771795723587275","0.23771795723587275"
"19","0.2634871155023575","0.2634871155023575","0.2634871155023575","0.24353039730340242","0.24353039730340242","0.24353039730340242","0.3138639086391777","0.3138639086391777","0.3138639086391777","0.11720606032758951","0.11720606032758951","0.11720606032758951","0.21365283615887165","0.21365283615887165","0.21365283615887165","0.23712482023984194","0.23712482023984194","0.23712482023984194"
"20","0.2632271237671375","0.2632271237671375","0.2632271237671375","0.2431001109071076","0.2431001109071076","0.2431001109071076","0.31385109666734934","0.31385109666734934","0.31385109666734934","0.11706421663984656","0.11706421663984656","0.11706421663984656","0.21330168494023383","0.21330168494023383","0.21330168494023383","0.2365576457232237","0.2365576457232237","0.2365576457232237"
"21","0.2630045488476753","0.2630045488476753","0.2630045488476753","0.24266559863463044","0.24266559863463044","0.24266559863463044","0.3138001693878323","0.3138001693878323","0.3138001693878323","0.1169240209273994","0.1169240209273994","0.1169240209273994","0.2129548874218017","0.2129548874218017","0.2129548874218017","0.23599028959870338","0.23599028959870338","0.23599028959870338"
"22","0.26275705080479383","0.26275705080479383","0.26275705080479383","0.24225012445822358","0.24225012445822358","0.24225012445822358","0.31390775204636157","0.31390775204636157","0.31390775204636157","0.11677518114447594","0.11677518114447594","0.11677518114447594","0.21262643719092011","0.21262643719092011","0.21262643719092011","0.2354203974828124","0.2354203974828124","0.2354203974828124"
"23","0.2625493872910738","0.2625493872910738","0.2625493872910738","0.2418642621487379","0.2418642621487379","0.2418642621487379","0.3140703353565186","0.3140703353565186","0.3140703353565186","0.11662462633103132","0.11662462633103132","0.11662462633103132","0.21230840776115656","0.21230840776115656","0.21230840776115656","0.23485879693180323","0.23485879693180323","0.23485879693180323"
"24","0.26232175156474113","0.26232175156474113","0.26232175156474113","0.24153920635581017","0.24153920635581017","0.24153920635581017","0.31431687041185796","0.31431687041185796","0.31431687041185796","0.116476159542799","0.116476159542799","0.116476159542799","0.21199410362169147","0.21199410362169147","0.21199410362169147","0.23430005554109812","0.23430005554109812","0.23430005554109812"
"25","0.2620312003418803","0.2620312003418803","0.2620312003418803","0.24118859553709626","0.24118859553709626","0.24118859553709626","0.31474063149653375","0.31474063149653375","0.31474063149653375","0.11632131785154343","0.11632131785154343","0.11632131785154343","0.21169993095099926","0.21169993095099926","0.21169993095099926","0.23375718388706446","0.23375718388706446","0.23375718388706446"
"26","0.26175321266055107","0.26175321266055107","0.26175321266055107","0.24084641272202134","0.24084641272202134","0.24084641272202134","0.3154571505729109","0.3154571505729109","0.3154571505729109","0.11615910427644849","0.11615910427644849","0.11615910427644849","0.21141298091970384","0.21141298091970384","0.21141298091970384","0.23321833554655313","0.23321833554655313","0.23321833554655313"
"27","0.2615254782140255","0.2615254782140255","0.2615254782140255","0.24049088545143604","0.24049088545143604","0.24049088545143604","0.3163982774131","0.3163982774131","0.3163982774131","0.1160023845732212","0.1160023845732212","0.1160023845732212","0.21112435404211283","0.21112435404211283","0.21112435404211283","0.2326702866703272","0.2326702866703272","0.2326702866703272"
"28","0.2612724890932441","0.2612724890932441","0.2612724890932441","0.24018141441047192","0.24018141441047192","0.24018141441047192","0.3177366585005075","0.3177366585005075","0.3177366585005075","0.11584272189065814","0.11584272189065814","0.11584272189065814","0.21083745313808322","0.21083745313808322","0.21083745313808322","0.2321216855198145","0.2321216855198145","0.2321216855198145"
"29","0.2610225547105074","0.2610225547105074","0.2610225547105074","0.23986262921243906","0.23986262921243906","0.23986262921243906","0.3195414289366454","0.3195414289366454","0.3195414289366454","0.11569475661963224","0.11569475661963224","0.11569475661963224","0.2105508060194552","0.2105508060194552","0.2105508060194552","0.23159781843423843","0.23159781843423843","0.23159781843423843"
"30","0.2607667110860348","0.2607667110860348","0.2607667110860348","0.23956885188817978","0.23956885188817978","0.23956885188817978","0.32196464017033577","0.32196464017033577","0.32196464017033577","0.11554668843746185","0.11554668843746185","0.11554668843746185","0.21031144238077104","0.21031144238077104","0.21031144238077104","0.23105771280825138","0.23105771280825138","0.23105771280825138"
"31","0.2605506107211113","0.2605506107211113","0.2605506107211113","0.23928256053477526","0.23928256053477526","0.23928256053477526","0.3253422970883548","0.3253422970883548","0.3253422970883548","0.11539753992110491","0.11539753992110491","0.11539753992110491","0.210058085154742","0.210058085154742","0.210058085154742","0.230525404214859","0.230525404214859","0.230525404214859"
"32","0.26030596904456615","0.26030596904456615","0.26030596904456615","0.23901697201654315","0.23901697201654315","0.23901697201654315","0.32981478958390653","0.32981478958390653","0.32981478958390653","0.11523725185543299","0.11523725185543299","0.11523725185543299","0.20982942241244018","0.20982942241244018","0.20982942241244018","0.22997652366757393","0.22997652366757393","0.22997652366757393"
"33","0.25999038107693195","0.25999038107693195","0.25999038107693195","0.2387838033027947","0.2387838033027947","0.2387838033027947","0.335383755620569","0.335383755620569","0.335383755620569","0.11508459551259875","0.11508459551259875","0.11508459551259875","0.20961011154577136","0.20961011154577136","0.20961011154577136","0.2294344138354063","0.2294344138354063","0.2294344138354063"
