"Step","stairs_pose_net_r18 - epoch/test_translation_loss","stairs_pose_net_r18 - epoch/test_translation_loss__MIN","stairs_pose_net_r18 - epoch/test_translation_loss__MAX","pumpkin_pose_net_r18 - epoch/test_translation_loss","pumpkin_pose_net_r18 - epoch/test_translation_loss__MIN","pumpkin_pose_net_r18 - epoch/test_translation_loss__MAX","office_pose_net_r18 - epoch/test_translation_loss","office_pose_net_r18 - epoch/test_translation_loss__MIN","office_pose_net_r18 - epoch/test_translation_loss__MAX","heads_pose_net_r18 - epoch/test_translation_loss","heads_pose_net_r18 - epoch/test_translation_loss__MIN","heads_pose_net_r18 - epoch/test_translation_loss__MAX","fire_pose_net_r18 - epoch/test_translation_loss","fire_pose_net_r18 - epoch/test_translation_loss__MIN","fire_pose_net_r18 - epoch/test_translation_loss__MAX","chess_pose_net_r18 - epoch/test_translation_loss","chess_pose_net_r18 - epoch/test_translation_loss__MIN","chess_pose_net_r18 - epoch/test_translation_loss__MAX"
"1","0.6354042142629623","0.6354042142629623","0.6354042142629623","0.7943128608167171","0.7943128608167171","0.7943128608167171","1.0196943171322346","1.0196943171322346","1.0196943171322346","0.20600471645593643","0.20600471645593643","0.20600471645593643","0.5036038160324097","0.5036038160324097","0.5036038160324097","0.6009914502501488","0.6009914502501488","0.6009914502501488"
"2","0.629666268825531","0.629666268825531","0.629666268825531","0.6183409057557583","0.6183409057557583","0.6183409057557583","0.6615340933203697","0.6615340933203697","0.6615340933203697","0.21604047622531652","0.21604047622531652","0.21604047622531652","0.45181620493531227","0.45181620493531227","0.45181620493531227","0.42298421636223793","0.42298421636223793","0.42298421636223793"
"3","0.5914019048213959","0.5914019048213959","0.5914019048213959","0.45186490193009377","0.45186490193009377","0.45186490193009377","0.43547118827700615","0.43547118827700615","0.43547118827700615","0.22128621861338615","0.22128621861338615","0.22128621861338615","0.4072466418147087","0.4072466418147087","0.4072466418147087","0.30872783809900284","0.30872783809900284","0.30872783809900284"
"4","0.5292090773582458","0.5292090773582458","0.5292090773582458","0.3566928543150425","0.3566928543150425","0.3566928543150425","0.34514275193214417","0.34514275193214417","0.34514275193214417","0.22169197723269463","0.22169197723269463","0.22169197723269463","0.37030856870114803","0.37030856870114803","0.37030856870114803","0.2613090444356203","0.2613090444356203","0.2613090444356203"
"5","0.4710300788283348","0.4710300788283348","0.4710300788283348","0.30763940513134","0.30763940513134","0.30763940513134","0.3146262327209115","0.3146262327209115","0.3146262327209115","0.2181943990290165","0.2181943990290165","0.2181943990290165","0.3390446659177542","0.3390446659177542","0.3390446659177542","0.2425431776791811","0.2425431776791811","0.2425431776791811"
"6","0.41699643805623055","0.41699643805623055","0.41699643805623055","0.28154514729976654","0.28154514729976654","0.28154514729976654","0.3051971481181681","0.3051971481181681","0.3051971481181681","0.21246660873293877","0.21246660873293877","0.21246660873293877","0.31426005996763706","0.31426005996763706","0.31426005996763706","0.23508294858038425","0.23508294858038425","0.23508294858038425"
"7","0.3707595653831959","0.3707595653831959","0.3707595653831959","0.26699708960950375","0.26699708960950375","0.26699708960950375","0.30252513149753213","0.30252513149753213","0.30252513149753213","0.20483513362705708","0.20483513362705708","0.20483513362705708","0.2955427039414644","0.2955427039414644","0.2955427039414644","0.2320344801992178","0.2320344801992178","0.2320344801992178"
"8","0.3373616859316826","0.3373616859316826","0.3373616859316826","0.2584769409149885","0.2584769409149885","0.2584769409149885","0.3018125775270164","0.3018125775270164","0.3018125775270164","0.19678441807627678","0.19678441807627678","0.19678441807627678","0.2812263797968626","0.2812263797968626","0.2812263797968626","0.2306106835603714","0.2306106835603714","0.2306106835603714"
"9","0.3149341084063053","0.3149341084063053","0.3149341084063053","0.2532478654757142","0.2532478654757142","0.2532478654757142","0.3014943194575608","0.3014943194575608","0.3014943194575608","0.18988222442567348","0.18988222442567348","0.18988222442567348","0.27020731195807457","0.27020731195807457","0.27020731195807457","0.22975823283195496","0.22975823283195496","0.22975823283195496"
"10","0.2997993603348732","0.2997993603348732","0.2997993603348732","0.24994296208024025","0.24994296208024025","0.24994296208024025","0.30123021034523845","0.30123021034523845","0.30123021034523845","0.18451916612684727","0.18451916612684727","0.18451916612684727","0.2617514543235302","0.2617514543235302","0.2617514543235302","0.2290495503693819","0.2290495503693819","0.2290495503693819"
