"Step","stairs_pose_net_effb0 - epoch/test_translation_loss","stairs_pose_net_effb0 - epoch/test_translation_loss__MIN","stairs_pose_net_effb0 - epoch/test_translation_loss__MAX","pumpkin_pose_net_effb0 - epoch/test_translation_loss","pumpkin_pose_net_effb0 - epoch/test_translation_loss__MIN","pumpkin_pose_net_effb0 - epoch/test_translation_loss__MAX","office_pose_net_effb0 - epoch/test_translation_loss","office_pose_net_effb0 - epoch/test_translation_loss__MIN","office_pose_net_effb0 - epoch/test_translation_loss__MAX","heads_pose_net_effb0 - epoch/test_translation_loss","heads_pose_net_effb0 - epoch/test_translation_loss__MIN","heads_pose_net_effb0 - epoch/test_translation_loss__MAX","fire_pose_net_effb0 - epoch/test_translation_loss","fire_pose_net_effb0 - epoch/test_translation_loss__MIN","fire_pose_net_effb0 - epoch/test_translation_loss__MAX","chess_pose_net_effb0 - epoch/test_translation_loss","chess_pose_net_effb0 - epoch/test_translation_loss__MIN","chess_pose_net_effb0 - epoch/test_translation_loss__MAX"
"1","8.77610956132412","8.77610956132412","8.77610956132412","0.6435656575486064","0.6435656575486064","0.6435656575486064","0.8699959851801395","0.8699959851801395","0.8699959851801395","0.1109489812515676","0.1109489812515676","0.1109489812515676","0.4865392120555043","0.4865392120555043","0.4865392120555043","0.5399300064891577","0.5399300064891577","0.5399300064891577"
"2","13.25014066696167","13.25014066696167","13.25014066696167","0.5801593512296677","0.5801593512296677","0.5801593512296677","0.8540663002058864","0.8540663002058864","0.8540663002058864","0.11549913417547941","0.11549913417547941","0.11549913417547941","0.4990635155700147","0.4990635155700147","0.4990635155700147","0.527097568847239","0.527097568847239","0.527097568847239"
"3","0.7410727106034756","0.7410727106034756","0.7410727106034756","0.5669078668579459","0.5669078668579459","0.5669078668579459","0.8203565888106823","0.8203565888106823","0.8203565888106823","0.11634520068764687","0.11634520068764687","0.11634520068764687","0.49538888316601515","0.49538888316601515","0.49538888316601515","0.5101552344858646","0.5101552344858646","0.5101552344858646"
"4","0.7166029363870621","0.7166029363870621","0.7166029363870621","0.5543465968221426","0.5543465968221426","0.5543465968221426","0.7881551431491971","0.7881551431491971","0.7881551431491971","0.11223679408431053","0.11223679408431053","0.11223679408431053","0.4865529933013022","0.4865529933013022","0.4865529933013022","0.4940061941742897","0.4940061941742897","0.4940061941742897"
"5","0.7029195129871368","0.7029195129871368","0.7029195129871368","0.5415250333026052","0.5415250333026052","0.5415250333026052","0.7590429587289691","0.7590429587289691","0.7590429587289691","0.11150374822318554","0.11150374822318554","0.11150374822318554","0.4796885126270354","0.4796885126270354","0.4796885126270354","0.4794482458382845","0.4794482458382845","0.4794482458382845"
"6","0.6937399730086327","0.6937399730086327","0.6937399730086327","0.5328111089766026","0.5328111089766026","0.5328111089766026","0.7311835698783398","0.7311835698783398","0.7311835698783398","0.11182067240588367","0.11182067240588367","0.11182067240588367","0.4743312271311879","0.4743312271311879","0.4743312271311879","0.464682525023818","0.464682525023818","0.464682525023818"
"7","0.6852670647203922","0.6852670647203922","0.6852670647203922","0.5224103536456823","0.5224103536456823","0.5224103536456823","0.7083683591336012","0.7083683591336012","0.7083683591336012","0.112204366363585","0.112204366363585","0.112204366363585","0.46901469910517335","0.46901469910517335","0.46901469910517335","0.4513707645237446","0.4513707645237446","0.4513707645237446"
"8","0.6776500046253204","0.6776500046253204","0.6776500046253204","0.5118917683139443","0.5118917683139443","0.5118917683139443","0.6841649175621569","0.6841649175621569","0.6841649175621569","0.11203107377514243","0.11203107377514243","0.11203107377514243","0.46394277922809124","0.46394277922809124","0.46394277922809124","0.43909243680536747","0.43909243680536747","0.43909243680536747"
"9","0.6710914708673954","0.6710914708673954","0.6710914708673954","0.5031776176765561","0.5031776176765561","0.5031776176765561","0.664791302755475","0.664791302755475","0.664791302755475","0.11188615206629038","0.11188615206629038","0.11188615206629038","0.45880228094756603","0.45880228094756603","0.45880228094756603","0.4277822030708194","0.4277822030708194","0.4277822030708194"
"10","0.6630959790199995","0.6630959790199995","0.6630959790199995","0.49396220035851","0.49396220035851","0.49396220035851","0.6429563397541642","0.6429563397541642","0.6429563397541642","0.1116736764088273","0.1116736764088273","0.1116736764088273","0.45490551460534334","0.45490551460534334","0.45490551460534334","0.41751423571258783","0.41751423571258783","0.41751423571258783"
