"Step","stairs_pose_net_mobv3s - epoch/test_translation_loss","stairs_pose_net_mobv3s - epoch/test_translation_loss__MIN","stairs_pose_net_mobv3s - epoch/test_translation_loss__MAX","pumpkin_pose_net_mobv3s - epoch/test_translation_loss","pumpkin_pose_net_mobv3s - epoch/test_translation_loss__MIN","pumpkin_pose_net_mobv3s - epoch/test_translation_loss__MAX","office_pose_net_mobv3s - epoch/test_translation_loss","office_pose_net_mobv3s - epoch/test_translation_loss__MIN","office_pose_net_mobv3s - epoch/test_translation_loss__MAX","heads_pose_net_mobv3s - epoch/test_translation_loss","heads_pose_net_mobv3s - epoch/test_translation_loss__MIN","heads_pose_net_mobv3s - epoch/test_translation_loss__MAX","fire_pose_net_mobv3s - epoch/test_translation_loss","fire_pose_net_mobv3s - epoch/test_translation_loss__MIN","fire_pose_net_mobv3s - epoch/test_translation_loss__MAX","chess_pose_net_mobv3s - epoch/test_translation_loss","chess_pose_net_mobv3s - epoch/test_translation_loss__MIN","chess_pose_net_mobv3s - epoch/test_translation_loss__MAX"
"1","0.7330810353159904","0.7330810353159904","0.7330810353159904","0.8020866401493549","0.8020866401493549","0.8020866401493549","0.8277557585388422","0.8277557585388422","0.8277557585388422","0.09433346753939986","0.09433346753939986","0.09433346753939986","0.4327987674623728","0.4327987674623728","0.4327987674623728","0.4360967855900526","0.4360967855900526","0.4360967855900526"
"2","0.677628219127655","0.677628219127655","0.677628219127655","0.7336478643119335","0.7336478643119335","0.7336478643119335","0.7642957530915737","0.7642957530915737","0.7642957530915737","0.09625483420677483","0.09625483420677483","0.09625483420677483","0.41070783138275146","0.41070783138275146","0.41070783138275146","0.41116361785680056","0.41116361785680056","0.41116361785680056"
"3","0.6456048209220171","0.6456048209220171","0.6456048209220171","0.668859189376235","0.668859189376235","0.668859189376235","0.7240214785560966","0.7240214785560966","0.7240214785560966","0.0977825887966901","0.0977825887966901","0.0977825887966901","0.39902399736456573","0.39902399736456573","0.39902399736456573","0.3869018778204918","0.3869018778204918","0.3869018778204918"
"4","0.6218359544873238","0.6218359544873238","0.6218359544873238","0.6181603968143463","0.6181603968143463","0.6181603968143463","0.6897353162057698","0.6897353162057698","0.6897353162057698","0.09914695983752608","0.09914695983752608","0.09914695983752608","0.3901079371571541","0.3901079371571541","0.3901079371571541","0.3669929886236787","0.3669929886236787","0.3669929886236787"
"5","0.5922775343060493","0.5922775343060493","0.5922775343060493","0.5804440397769213","0.5804440397769213","0.5804440397769213","0.6424278984777629","0.6424278984777629","0.6424278984777629","0.1004541371949017","0.1004541371949017","0.1004541371949017","0.381595348007977","0.381595348007977","0.381595348007977","0.35019086487591267","0.35019086487591267","0.35019086487591267"
"6","0.5635543204843998","0.5635543204843998","0.5635543204843998","0.5430375579744577","0.5430375579744577","0.5430375579744577","0.5903672561980784","0.5903672561980784","0.5903672561980784","0.10163434548303485","0.10163434548303485","0.10163434548303485","0.37337579391896725","0.37337579391896725","0.37337579391896725","0.3347383849322796","0.3347383849322796","0.3347383849322796"
"7","0.5449765510857105","0.5449765510857105","0.5449765510857105","0.5073107592761517","0.5073107592761517","0.5073107592761517","0.5434243073686957","0.5434243073686957","0.5434243073686957","0.10256326268427074","0.10256326268427074","0.10256326268427074","0.36490097641944885","0.36490097641944885","0.36490097641944885","0.32196875754743814","0.32196875754743814","0.32196875754743814"
"8","0.5368773657828569","0.5368773657828569","0.5368773657828569","0.4813478225842118","0.4813478225842118","0.4813478225842118","0.504196282941848","0.504196282941848","0.504196282941848","0.10313627729192376","0.10313627729192376","0.10313627729192376","0.3559765378013253","0.3559765378013253","0.3559765378013253","0.3124501705169678","0.3124501705169678","0.3124501705169678"
"9","0.5365682188421488","0.5365682188421488","0.5365682188421488","0.46201042365282774","0.46201042365282774","0.46201042365282774","0.47390359500423074","0.47390359500423074","0.47390359500423074","0.10306526371277869","0.10306526371277869","0.10306526371277869","0.34742466383613646","0.34742466383613646","0.34742466383613646","0.3046261593699455","0.3046261593699455","0.3046261593699455"
"10","0.5362629219889641","0.5362629219889641","0.5362629219889641","0.44964071456342936","0.44964071456342936","0.44964071456342936","0.44931894983164966","0.44931894983164966","0.44931894983164966","0.10247119818814099","0.10247119818814099","0.10247119818814099","0.33973372634500265","0.33973372634500265","0.33973372634500265","0.29722425155341625","0.29722425155341625","0.29722425155341625"
"11","0.5324441641569138","0.5324441641569138","0.5324441641569138","0.4407987501472235","0.4407987501472235","0.4407987501472235","0.4281825984362513","0.4281825984362513","0.4281825984362513","0.101744583575055","0.101744583575055","0.101744583575055","0.3328041140921414","0.3328041140921414","0.3328041140921414","0.29064188338816166","0.29064188338816166","0.29064188338816166"
"12","0.5261766603216529","0.5261766603216529","0.5261766603216529","0.43134493846446276","0.43134493846446276","0.43134493846446276","0.4109907525125891","0.4109907525125891","0.4109907525125891","0.10110381268896163","0.10110381268896163","0.10110381268896163","0.3264966611750424","0.3264966611750424","0.3264966611750424","0.2845377419143915","0.2845377419143915","0.2845377419143915"
"13","0.5179710611701012","0.5179710611701012","0.5179710611701012","0.4228824423626065","0.4228824423626065","0.4228824423626065","0.39705057186074555","0.39705057186074555","0.39705057186074555","0.10043644905090332","0.10043644905090332","0.10043644905090332","0.32089980971068144","0.32089980971068144","0.32089980971068144","0.27876762952655554","0.27876762952655554","0.27876762952655554"
"14","0.510030216537416","0.510030216537416","0.510030216537416","0.41379659436643124","0.41379659436643124","0.41379659436643124","0.38433408783748746","0.38433408783748746","0.38433408783748746","0.09974736161530018","0.09974736161530018","0.09974736161530018","0.3159422632306814","0.3159422632306814","0.3159422632306814","0.27310191560536623","0.27310191560536623","0.27310191560536623"
"15","0.5021393038332462","0.5021393038332462","0.5021393038332462","0.40335877519100904","0.40335877519100904","0.40335877519100904","0.37214939680416137","0.37214939680416137","0.37214939680416137","0.09909135103225708","0.09909135103225708","0.09909135103225708","0.311311109457165","0.311311109457165","0.311311109457165","0.26780752278864384","0.26780752278864384","0.26780752278864384"
"16","0.49247870966792107","0.49247870966792107","0.49247870966792107","0.3924237731844187","0.3924237731844187","0.3924237731844187","0.3620050549507141","0.3620050549507141","0.3620050549507141","0.09870032756589353","0.09870032756589353","0.09870032756589353","0.306807367131114","0.306807367131114","0.306807367131114","0.2630073130130768","0.2630073130130768","0.2630073130130768"
"17","0.47816300950944424","0.47816300950944424","0.47816300950944424","0.38072836212813854","0.38072836212813854","0.38072836212813854","0.35332912113517523","0.35332912113517523","0.35332912113517523","0.09849187079817057","0.09849187079817057","0.09849187079817057","0.302128192037344","0.302128192037344","0.302128192037344","0.2589061940088868","0.2589061940088868","0.2589061940088868"
"18","0.46346427500247955","0.46346427500247955","0.46346427500247955","0.36885522678494453","0.36885522678494453","0.36885522678494453","0.3472811065148562","0.3472811065148562","0.3472811065148562","0.0982569926418364","0.0982569926418364","0.0982569926418364","0.2975908846128732","0.2975908846128732","0.2975908846128732","0.2555175181478262","0.2555175181478262","0.2555175181478262"
"19","0.4507932225242257","0.4507932225242257","0.4507932225242257","0.3571856003254652","0.3571856003254652","0.3571856003254652","0.34263750235550106","0.34263750235550106","0.34263750235550106","0.09791914513334632","0.09791914513334632","0.09791914513334632","0.2932136228773743","0.2932136228773743","0.2932136228773743","0.25286731217056513","0.25286731217056513","0.25286731217056513"
"20","0.4427629103884101","0.4427629103884101","0.4427629103884101","0.34631893690675497","0.34631893690675497","0.34631893690675497","0.33928467973601073","0.33928467973601073","0.33928467973601073","0.09765644604340196","0.09765644604340196","0.09765644604340196","0.2887160477694124","0.2887160477694124","0.2887160477694124","0.25079139694571495","0.25079139694571495","0.25079139694571495"
"21","0.437493734061718","0.437493734061718","0.437493734061718","0.33688370091840625","0.33688370091840625","0.33688370091840625","0.3369500443805009","0.3369500443805009","0.3369500443805009","0.09739717422053218","0.09739717422053218","0.09739717422053218","0.28439363092184067","0.28439363092184067","0.28439363092184067","0.24924169201403856","0.24924169201403856","0.24924169201403856"
"22","0.43415958620607853","0.43415958620607853","0.43415958620607853","0.32919806195423007","0.32919806195423007","0.32919806195423007","0.33558459766209126","0.33558459766209126","0.33558459766209126","0.09722161502577364","0.09722161502577364","0.09722161502577364","0.2803349655587226","0.2803349655587226","0.2803349655587226","0.2480766298249364","0.2480766298249364","0.2480766298249364"
"23","0.4325520973652601","0.4325520973652601","0.4325520973652601","0.32278149109333754","0.32278149109333754","0.32278149109333754","0.33458880661055446","0.33458880661055446","0.33458880661055446","0.09704529494047165","0.09704529494047165","0.09704529494047165","0.27647369948681444","0.27647369948681444","0.27647369948681444","0.24718239065259695","0.24718239065259695","0.24718239065259695"
"24","0.4309185892343521","0.4309185892343521","0.4309185892343521","0.31777120335027575","0.31777120335027575","0.31777120335027575","0.33404881705064327","0.33404881705064327","0.33404881705064327","0.09687422052957118","0.09687422052957118","0.09687422052957118","0.2725145210279152","0.2725145210279152","0.2725145210279152","0.24649606365710497","0.24649606365710497","0.24649606365710497"
"25","0.4293385883793235","0.4293385883793235","0.4293385883793235","0.31374216079711914","0.31374216079711914","0.31374216079711914","0.33559440344106406","0.33559440344106406","0.33559440344106406","0.09672668110579252","0.09672668110579252","0.09672668110579252","0.26848521817009896","0.26848521817009896","0.26848521817009896","0.24599262792617083","0.24599262792617083","0.24599262792617083"
