"Step","stairs_pose_net_mobv3l - epoch/test_translation_loss","stairs_pose_net_mobv3l - epoch/test_translation_loss__MIN","stairs_pose_net_mobv3l - epoch/test_translation_loss__MAX","pumpkin_pose_net_mobv3l - epoch/test_translation_loss","pumpkin_pose_net_mobv3l - epoch/test_translation_loss__MIN","pumpkin_pose_net_mobv3l - epoch/test_translation_loss__MAX","office_pose_net_mobv3l - epoch/test_translation_loss","office_pose_net_mobv3l - epoch/test_translation_loss__MIN","office_pose_net_mobv3l - epoch/test_translation_loss__MAX","heads_pose_net_mobv3l - epoch/test_translation_loss","heads_pose_net_mobv3l - epoch/test_translation_loss__MIN","heads_pose_net_mobv3l - epoch/test_translation_loss__MAX","fire_pose_net_mobv3l - epoch/test_translation_loss","fire_pose_net_mobv3l - epoch/test_translation_loss__MIN","fire_pose_net_mobv3l - epoch/test_translation_loss__MAX","chess_pose_net_mobv3l - epoch/test_translation_loss","chess_pose_net_mobv3l - epoch/test_translation_loss__MIN","chess_pose_net_mobv3l - epoch/test_translation_loss__MAX"
"21","0.4840704519301653","0.4840704519301653","0.4840704519301653","0.28104746993631124","0.28104746993631124","0.28104746993631124","0.3230867937672883","0.3230867937672883","0.3230867937672883","0.11332740844227374","0.11332740844227374","0.11332740844227374","0.27060999255627394","0.27060999255627394","0.27060999255627394","0.2410543542355299","0.2410543542355299","0.2410543542355299"
"22","0.46995315607637167","0.46995315607637167","0.46995315607637167","0.27937114844098687","0.27937114844098687","0.27937114844098687","0.3228728617541492","0.3228728617541492","0.3228728617541492","0.11274885991588235","0.11274885991588235","0.11274885991588235","0.26756891841068864","0.26756891841068864","0.26756891841068864","0.24076107144355774","0.24076107144355774","0.24076107144355774"
"23","0.45308022759854794","0.45308022759854794","0.45308022759854794","0.27809065533801913","0.27809065533801913","0.27809065533801913","0.3226757722441107","0.3226757722441107","0.3226757722441107","0.11218213778920472","0.11218213778920472","0.11218213778920472","0.2652543322183192","0.2652543322183192","0.2652543322183192","0.24046253506094217","0.24046253506094217","0.24046253506094217"
"24","0.4378720447421074","0.4378720447421074","0.4378720447421074","0.27696619904600084","0.27696619904600084","0.27696619904600084","0.3222824549302459","0.3222824549302459","0.3222824549302459","0.11167733487673104","0.11167733487673104","0.11167733487673104","0.26310926070436835","0.26310926070436835","0.26310926070436835","0.24022893980145454","0.24022893980145454","0.24022893980145454"
"25","0.4310211827978492","0.4310211827978492","0.4310211827978492","0.2763158332090825","0.2763158332090825","0.2763158332090825","0.32180660706944764","0.32180660706944764","0.32180660706944764","0.11119206855073571","0.11119206855073571","0.11119206855073571","0.26111642364412546","0.26111642364412546","0.26111642364412546","0.24003189336508512","0.24003189336508512","0.24003189336508512"
"26","0.4219564851373434","0.4219564851373434","0.4219564851373434","0.2758442850317806","0.2758442850317806","0.2758442850317806","0.32151276455260813","0.32151276455260813","0.32151276455260813","0.11077388259582222","0.11077388259582222","0.11077388259582222","0.2595819258131087","0.2595819258131087","0.2595819258131087","0.2398559506982565","0.2398559506982565","0.2398559506982565"
"27","0.41192375123500824","0.41192375123500824","0.41192375123500824","0.27564964443445206","0.27564964443445206","0.27564964443445206","0.32182012451812625","0.32182012451812625","0.32182012451812625","0.11042078514583409","0.11042078514583409","0.11042078514583409","0.2580725036095828","0.2580725036095828","0.2580725036095828","0.23969205934554338","0.23969205934554338","0.23969205934554338"
"28","0.4017186416313052","0.4017186416313052","0.4017186416313052","0.27555464301258326","0.27555464301258326","0.27555464301258326","0.3213440226390958","0.3213440226390958","0.3213440226390958","0.11007091915234923","0.11007091915234923","0.11007091915234923","0.2568307854235172","0.2568307854235172","0.2568307854235172","0.23953988682478666","0.23953988682478666","0.23953988682478666"
"29","0.3931026728823781","0.3931026728823781","0.3931026728823781","0.2751842108555138","0.2751842108555138","0.2751842108555138","0.32152186427265406","0.32152186427265406","0.32152186427265406","0.10967024904675782","0.10967024904675782","0.10967024904675782","0.255721393506974","0.255721393506974","0.255721393506974","0.23931168857961893","0.23931168857961893","0.23931168857961893"
"30","0.38489834405481815","0.38489834405481815","0.38489834405481815","0.2747539062984288","0.2747539062984288","0.2747539062984288","0.32121268939226866","0.32121268939226866","0.32121268939226866","0.10920531488955021","0.10920531488955021","0.10920531488955021","0.25485233636572957","0.25485233636572957","0.25485233636572957","0.23922183737158775","0.23922183737158775","0.23922183737158775"
"31","0.3775197435170412","0.3775197435170412","0.3775197435170412","0.27477246010676026","0.27477246010676026","0.27477246010676026","0.32102224603295326","0.32102224603295326","0.32102224603295326","0.10874058958142996","0.10874058958142996","0.10874058958142996","0.25393411982804537","0.25393411982804537","0.25393411982804537","0.23919393960386515","0.23919393960386515","0.23919393960386515"
"32","0.3711212631314993","0.3711212631314993","0.3711212631314993","0.27480239188298583","0.27480239188298583","0.27480239188298583","0.3204717349726707","0.3204717349726707","0.3204717349726707","0.10817554267123342","0.10817554267123342","0.10817554267123342","0.2531500239856541","0.2531500239856541","0.2531500239856541","0.23910167627036572","0.23910167627036572","0.23910167627036572"
"33","0.365806857123971","0.365806857123971","0.365806857123971","0.2756088664755225","0.2756088664755225","0.2756088664755225","0.3206707702483982","0.3206707702483982","0.3206707702483982","0.10752733261324465","0.10752733261324465","0.10752733261324465","0.2526673427782953","0.2526673427782953","0.2526673427782953","0.23912361171096563","0.23912361171096563","0.23912361171096563"
"34","0.3609568290412426","0.3609568290412426","0.3609568290412426","0.2756815501488745","0.2756815501488745","0.2756815501488745","0.32091559330001473","0.32091559330001473","0.32091559330001473","0.10677696787752211","0.10677696787752211","0.10677696787752211","0.2523016515187919","0.2523016515187919","0.2523016515187919","0.23907892405986786","0.23907892405986786","0.23907892405986786"
"35","0.3574438178911805","0.3574438178911805","0.3574438178911805","0.2756206560879946","0.2756206560879946","0.2756206560879946","0.321803756756708","0.321803756756708","0.321803756756708","0.10604196367785335","0.10604196367785335","0.10604196367785335","0.25203259009867907","0.25203259009867907","0.25203259009867907","0.23899646196514368","0.23899646196514368","0.23899646196514368"
"36","0.35363247245550156","0.35363247245550156","0.35363247245550156","0.2759529473260045","0.2759529473260045","0.2759529473260045","0.3211776602547616","0.3211776602547616","0.3211776602547616","0.10535356611944735","0.10535356611944735","0.10535356611944735","0.25186205515637994","0.25186205515637994","0.25186205515637994","0.2389395609498024","0.2389395609498024","0.2389395609498024"
