"Step","stairs_pose_net_g - epoch/test_translation_loss","stairs_pose_net_g - epoch/test_translation_loss__MIN","stairs_pose_net_g - epoch/test_translation_loss__MAX","pumpkin_pose_net_g - epoch/test_translation_loss","pumpkin_pose_net_g - epoch/test_translation_loss__MIN","pumpkin_pose_net_g - epoch/test_translation_loss__MAX","office_pose_net_g - epoch/test_translation_loss","office_pose_net_g - epoch/test_translation_loss__MIN","office_pose_net_g - epoch/test_translation_loss__MAX","heads_pose_net_g - epoch/test_translation_loss","heads_pose_net_g - epoch/test_translation_loss__MIN","heads_pose_net_g - epoch/test_translation_loss__MAX","fire_pose_net_g - epoch/test_translation_loss","fire_pose_net_g - epoch/test_translation_loss__MIN","fire_pose_net_g - epoch/test_translation_loss__MAX","chess_pose_net_g - epoch/test_translation_loss","chess_pose_net_g - epoch/test_translation_loss__MIN","chess_pose_net_g - epoch/test_translation_loss__MAX"
"1","0.8567283153533936","0.8567283153533936","0.8567283153533936","0.6326750963926315","0.6326750963926315","0.6326750963926315","0.7363523235544562","0.7363523235544562","0.7363523235544562","0.11624227184802294","0.11624227184802294","0.11624227184802294","0.46194695495069027","0.46194695495069027","0.46194695495069027","0.4301827219314873","0.4301827219314873","0.4301827219314873"
"2","0.7992450445890427","0.7992450445890427","0.7992450445890427","0.5344435796141624","0.5344435796141624","0.5344435796141624","0.5388268791139126","0.5388268791139126","0.5388268791139126","0.11237938888370991","0.11237938888370991","0.11237938888370991","0.42899365769699216","0.42899365769699216","0.42899365769699216","0.37360219610854983","0.37360219610854983","0.37360219610854983"
"3","0.7258113622665405","0.7258113622665405","0.7258113622665405","0.46177601534873247","0.46177601534873247","0.46177601534873247","0.43411032506264746","0.43411032506264746","0.43411032506264746","0.10925266915000975","0.10925266915000975","0.10925266915000975","0.39611478755250573","0.39611478755250573","0.39611478755250573","0.3315594894811511","0.3315594894811511","0.3315594894811511"
"4","0.6585345696657896","0.6585345696657896","0.6585345696657896","0.40957478526979685","0.40957478526979685","0.40957478526979685","0.3776297395816073","0.3776297395816073","0.3776297395816073","0.10667274845764041","0.10667274845764041","0.10667274845764041","0.3678600264247507","0.3678600264247507","0.3678600264247507","0.30305358162149787","0.30305358162149787","0.30305358162149787"
"5","0.5997883602976799","0.5997883602976799","0.5997883602976799","0.3719000397250056","0.3719000397250056","0.3719000397250056","0.34717261453624815","0.34717261453624815","0.34717261453624815","0.1043876907788217","0.1043876907788217","0.1043876907788217","0.344546340405941","0.344546340405941","0.344546340405941","0.28396903863176703","0.28396903863176703","0.28396903863176703"
"6","0.550491239875555","0.550491239875555","0.550491239875555","0.34437977708876133","0.34437977708876133","0.34437977708876133","0.33075396809726954","0.33075396809726954","0.33075396809726954","0.10184116498567164","0.10184116498567164","0.10184116498567164","0.3251221503596753","0.3251221503596753","0.3251221503596753","0.2710816729813814","0.2710816729813814","0.2710816729813814"
"7","0.509273886680603","0.509273886680603","0.509273886680603","0.3241227148100734","0.3241227148100734","0.3241227148100734","0.32181342504918575","0.32181342504918575","0.32181342504918575","0.09993328154087067","0.09993328154087067","0.09993328154087067","0.308919966686517","0.308919966686517","0.308919966686517","0.2623153440654278","0.2623153440654278","0.2623153440654278"
"8","0.47456797771155834","0.47456797771155834","0.47456797771155834","0.3090025302954018","0.3090025302954018","0.3090025302954018","0.3169013933511451","0.3169013933511451","0.3169013933511451","0.09845806122757494","0.09845806122757494","0.09845806122757494","0.29529281496070325","0.29529281496070325","0.29529281496070325","0.25638698879629374","0.25638698879629374","0.25638698879629374"
"9","0.44528950564563274","0.44528950564563274","0.44528950564563274","0.2975670723244548","0.2975670723244548","0.2975670723244548","0.31416267598979175","0.31416267598979175","0.31416267598979175","0.09740518522448838","0.09740518522448838","0.09740518522448838","0.2838226114399731","0.2838226114399731","0.2838226114399731","0.2522657997906208","0.2522657997906208","0.2522657997906208"
"10","0.4205667423084378","0.4205667423084378","0.4205667423084378","0.288905072491616","0.288905072491616","0.288905072491616","0.312610873952508","0.312610873952508","0.312610873952508","0.09673245809972286","0.09673245809972286","0.09673245809972286","0.27409935486502945","0.27409935486502945","0.27409935486502945","0.2494130888953805","0.2494130888953805","0.2494130888953805"
"11","0.39962148014456034","0.39962148014456034","0.39962148014456034","0.2822804106399417","0.2822804106399417","0.2822804106399417","0.311679944396019","0.311679944396019","0.311679944396019","0.09620170411653817","0.09620170411653817","0.09620170411653817","0.26587594056036323","0.26587594056036323","0.26587594056036323","0.24733734130859375","0.24733734130859375","0.24733734130859375"
"12","0.3817451084032655","0.3817451084032655","0.3817451084032655","0.27707560965791345","0.27707560965791345","0.27707560965791345","0.311125059844926","0.311125059844926","0.311125059844926","0.09576026792638004","0.09576026792638004","0.09576026792638004","0.2588542306330055","0.2588542306330055","0.2588542306330055","0.2458634153008461","0.2458634153008461","0.2458634153008461"
"13","0.36662489315494895","0.36662489315494895","0.36662489315494895","0.27302668523043394","0.27302668523043394","0.27302668523043394","0.31074705882929265","0.31074705882929265","0.31074705882929265","0.09536847053095698","0.09536847053095698","0.09536847053095698","0.25289403717033565","0.25289403717033565","0.25289403717033565","0.2448093956336379","0.2448093956336379","0.2448093956336379"
