"Step","stairs_pose_net_effb1 - epoch/test_translation_loss","stairs_pose_net_effb1 - epoch/test_translation_loss__MIN","stairs_pose_net_effb1 - epoch/test_translation_loss__MAX","pumpkin_pose_net_effb1 - epoch/test_translation_loss","pumpkin_pose_net_effb1 - epoch/test_translation_loss__MIN","pumpkin_pose_net_effb1 - epoch/test_translation_loss__MAX","office_pose_net_effb1 - epoch/test_translation_loss","office_pose_net_effb1 - epoch/test_translation_loss__MIN","office_pose_net_effb1 - epoch/test_translation_loss__MAX","heads_pose_net_effb1 - epoch/test_translation_loss","heads_pose_net_effb1 - epoch/test_translation_loss__MIN","heads_pose_net_effb1 - epoch/test_translation_loss__MAX","fire_pose_net_effb1 - epoch/test_translation_loss","fire_pose_net_effb1 - epoch/test_translation_loss__MIN","fire_pose_net_effb1 - epoch/test_translation_loss__MAX","chess_pose_net_effb1 - epoch/test_translation_loss","chess_pose_net_effb1 - epoch/test_translation_loss__MIN","chess_pose_net_effb1 - epoch/test_translation_loss__MAX"
"1","0.7616086080670357","0.7616086080670357","0.7616086080670357","0.6055727507919073","0.6055727507919073","0.6055727507919073","0.8790306886658072","0.8790306886658072","0.8790306886658072","0.0984620419330895","0.0984620419330895","0.0984620419330895","0.5308221625164151","0.5308221625164151","0.5308221625164151","0.526134891435504","0.526134891435504","0.526134891435504"
"2","0.7525671236217022","0.7525671236217022","0.7525671236217022","0.5925939194858074","0.5925939194858074","0.5925939194858074","0.8394202375784516","0.8394202375784516","0.8394202375784516","0.10310343652963638","0.10310343652963638","0.10310343652963638","0.5189845077693462","0.5189845077693462","0.5189845077693462","0.5157920261844993","0.5157920261844993","0.5157920261844993"
"3","0.7431100457906723","0.7431100457906723","0.7431100457906723","0.5753538832068443","0.5753538832068443","0.5753538832068443","0.7930582677945495","0.7930582677945495","0.7930582677945495","0.10472463141195476","0.10472463141195476","0.10472463141195476","0.514920492656529","0.514920492656529","0.514920492656529","0.4980888208374381","0.4980888208374381","0.4980888208374381"
"4","0.7336576357483864","0.7336576357483864","0.7336576357483864","0.5591969303786755","0.5591969303786755","0.5591969303786755","0.7506940942257643","0.7506940942257643","0.7506940942257643","0.10525887738913298","0.10525887738913298","0.10525887738913298","0.5088048968464136","0.5088048968464136","0.5088048968464136","0.4808373898267746","0.4808373898267746","0.4808373898267746"
"5","0.7225048989057541","0.7225048989057541","0.7225048989057541","0.5439789276570082","0.5439789276570082","0.5439789276570082","0.7152518052607775","0.7152518052607775","0.7152518052607775","0.10400481475517154","0.10400481475517154","0.10400481475517154","0.5008802339434624","0.5008802339434624","0.5008802339434624","0.46644803415983915","0.46644803415983915","0.46644803415983915"
"6","0.7109696865081787","0.7109696865081787","0.7109696865081787","0.530301796272397","0.530301796272397","0.530301796272397","0.6783864982426167","0.6783864982426167","0.6783864982426167","0.10163999209180474","0.10163999209180474","0.10163999209180474","0.4932492868974805","0.4932492868974805","0.4932492868974805","0.4522339915856719","0.4522339915856719","0.4522339915856719"
"7","0.6989040784537792","0.6989040784537792","0.6989040784537792","0.517063282430172","0.517063282430172","0.517063282430172","0.6497975075617433","0.6497975075617433","0.6497975075617433","0.09973729378543794","0.09973729378543794","0.09973729378543794","0.48606062587350607","0.48606062587350607","0.48606062587350607","0.43949069548398256","0.43949069548398256","0.43949069548398256"
"8","0.6878088526427746","0.6878088526427746","0.6878088526427746","0.5056916093453765","0.5056916093453765","0.5056916093453765","0.6244433070532978","0.6244433070532978","0.6244433070532978","0.09858329896815121","0.09858329896815121","0.09858329896815121","0.478681830689311","0.478681830689311","0.478681830689311","0.42834084713831544","0.42834084713831544","0.42834084713831544"
"9","0.6777509599924088","0.6777509599924088","0.6777509599924088","0.4950108155608177","0.4950108155608177","0.4950108155608177","0.5973886526189744","0.5973886526189744","0.5973886526189744","0.09792397194541991","0.09792397194541991","0.09792397194541991","0.47156437719240785","0.47156437719240785","0.47156437719240785","0.4184036976657808","0.4184036976657808","0.4184036976657808"
"10","0.6668713614344597","0.6668713614344597","0.6668713614344597","0.4835526505485177","0.4835526505485177","0.4835526505485177","0.5771646499633789","0.5771646499633789","0.5771646499633789","0.09746649116277695","0.09746649116277695","0.09746649116277695","0.4651674162596464","0.4651674162596464","0.4651674162596464","0.4077653484418988","0.4077653484418988","0.4077653484418988"
