"Step","stairs_pose_net_mobv3s - epoch/test_rotation_loss","stairs_pose_net_mobv3s - epoch/test_rotation_loss__MIN","stairs_pose_net_mobv3s - epoch/test_rotation_loss__MAX","pumpkin_pose_net_mobv3s - epoch/test_rotation_loss","pumpkin_pose_net_mobv3s - epoch/test_rotation_loss__MIN","pumpkin_pose_net_mobv3s - epoch/test_rotation_loss__MAX","office_pose_net_mobv3s - epoch/test_rotation_loss","office_pose_net_mobv3s - epoch/test_rotation_loss__MIN","office_pose_net_mobv3s - epoch/test_rotation_loss__MAX","heads_pose_net_mobv3s - epoch/test_rotation_loss","heads_pose_net_mobv3s - epoch/test_rotation_loss__MIN","heads_pose_net_mobv3s - epoch/test_rotation_loss__MAX","fire_pose_net_mobv3s - epoch/test_rotation_loss","fire_pose_net_mobv3s - epoch/test_rotation_loss__MIN","fire_pose_net_mobv3s - epoch/test_rotation_loss__MAX","chess_pose_net_mobv3s - epoch/test_rotation_loss","chess_pose_net_mobv3s - epoch/test_rotation_loss__MIN","chess_pose_net_mobv3s - epoch/test_rotation_loss__MAX"
"12","0.01668903697282076","0.01668903697282076","0.01668903697282076","0.02303171652602032","0.02303171652602032","0.02303171652602032","0.05374734857468866","0.05374734857468866","0.05374734857468866","0.015194636886008084","0.015194636886008084","0.015194636886008084","0.03975110989995301","0.03975110989995301","0.03975110989995301","0.01880734460428357","0.01880734460428357","0.01880734460428357"
"13","0.01637405896326527","0.01637405896326527","0.01637405896326527","0.02270418591797352","0.02270418591797352","0.02270418591797352","0.05332356909639202","0.05332356909639202","0.05332356909639202","0.015614316565915942","0.015614316565915942","0.015614316565915942","0.039568026884808205","0.039568026884808205","0.039568026884808205","0.018792149508954026","0.018792149508954026","0.018792149508954026"
"14","0.01604302547639236","0.01604302547639236","0.01604302547639236","0.02238924527046038","0.02238924527046038","0.02238924527046038","0.05292997747892514","0.05292997747892514","0.05292997747892514","0.016280676994938403","0.016280676994938403","0.016280676994938403","0.039428735835826956","0.039428735835826956","0.039428735835826956","0.01877542253350839","0.01877542253350839","0.01877542253350839"
"15","0.01575709111057222","0.01575709111057222","0.01575709111057222","0.02215068432269618","0.02215068432269618","0.02215068432269618","0.052560920536052436","0.052560920536052436","0.052560920536052436","0.017168981197755784","0.017168981197755784","0.017168981197755784","0.03932520921807736","0.03932520921807736","0.03932520921807736","0.018756722085527144","0.018756722085527144","0.018756722085527144"
"16","0.015544241323368624","0.015544241323368624","0.015544241323368624","0.02197947171953274","0.02197947171953274","0.02197947171953274","0.05217324892873876","0.05217324892873876","0.05217324892873876","0.01807777612702921","0.01807777612702921","0.01807777612702921","0.039245461113750935","0.039245461113750935","0.039245461113750935","0.018735939185717143","0.018735939185717143","0.018735939185717143"
"17","0.015495245548663661","0.015495245548663661","0.015495245548663661","0.021846246207132936","0.021846246207132936","0.021846246207132936","0.05176529221353121","0.05176529221353121","0.05176529221353121","0.018832936824765056","0.018832936824765056","0.018832936824765056","0.03915557454456575","0.03915557454456575","0.03915557454456575","0.018711938566411845","0.018711938566411845","0.018711938566411845"
"18","0.015399202471598983","0.015399202471598983","0.015399202471598983","0.021727026905864477","0.021727026905864477","0.021727026905864477","0.05133653021766804","0.05133653021766804","0.05133653021766804","0.019384036248084158","0.019384036248084158","0.019384036248084158","0.03905900401878171","0.03905900401878171","0.03905900401878171","0.018685477640246972","0.018685477640246972","0.018685477640246972"
"19","0.01530253974488005","0.01530253974488005","0.01530253974488005","0.021609373019600753","0.021609373019600753","0.021609373019600753","0.0508512175292708","0.0508512175292708","0.0508512175292708","0.019784987322054803","0.019784987322054803","0.019784987322054803","0.0389653310412541","0.0389653310412541","0.0389653310412541","0.018656193162314594","0.018656193162314594","0.018656193162314594"
"20","0.015195604908512905","0.015195604908512905","0.015195604908512905","0.02148536867753137","0.02148536867753137","0.02148536867753137","0.05031568309641443","0.05031568309641443","0.05031568309641443","0.020071126986294985","0.020071126986294985","0.020071126986294985","0.038877411192515865","0.038877411192515865","0.038877411192515865","0.018623508396558464","0.018623508396558464","0.018623508396558464"
"21","0.01504331239266321","0.01504331239266321","0.01504331239266321","0.021345678134821355","0.021345678134821355","0.021345678134821355","0.04973464511567727","0.04973464511567727","0.04973464511567727","0.02018131356453523","0.02018131356453523","0.02018131356453523","0.03878656672895886","0.03878656672895886","0.03878656672895886","0.018588431426906027","0.018588431426906027","0.018588431426906027"
"22","0.014852485968731344","0.014852485968731344","0.014852485968731344","0.021185538527788594","0.021185538527788594","0.021185538527788594","0.049105583486380056","0.049105583486380056","0.049105583486380056","0.020213514275383204","0.020213514275383204","0.020213514275383204","0.03869863958971109","0.03869863958971109","0.03869863958971109","0.018552332898252644","0.018552332898252644","0.018552332898252644"
"23","0.014611481863539666","0.014611481863539666","0.014611481863539666","0.02100972190964967","0.02100972190964967","0.02100972190964967","0.048448047949932516","0.048448047949932516","0.048448047949932516","0.020197263453155756","0.020197263453155756","0.020197263453155756","0.038608138464041986","0.038608138464041986","0.038608138464041986","0.018516124036978","0.018516124036978","0.018516124036978"
"24","0.014393547375220805","0.014393547375220805","0.014393547375220805","0.020823387836571783","0.020823387836571783","0.020823387836571783","0.04774960718350485","0.04774960718350485","0.04774960718350485","0.020094704814255238","0.020094704814255238","0.020094704814255238","0.038512077095219865","0.038512077095219865","0.038512077095219865","0.018479079983080737","0.018479079983080737","0.018479079983080737"
"25","0.014216320007108152","0.014216320007108152","0.014216320007108152","0.020626053046726156","0.020626053046726156","0.020626053046726156","0.04693049615889322","0.04693049615889322","0.04693049615889322","0.01997041463619098","0.01997041463619098","0.01997041463619098","0.0384023392398376","0.0384023392398376","0.0384023392398376","0.018442295549903065","0.018442295549903065","0.018442295549903065"
"26","0.014082380279432982","0.014082380279432982","0.014082380279432982","0.020421201108547393","0.020421201108547393","0.020421201108547393","0.04604603853658773","0.04604603853658773","0.04604603853658773","0.019767150981351733","0.019767150981351733","0.019767150981351733","0.03828322619665414","0.03828322619665414","0.03828322619665414","0.018404489106615074","0.018404489106615074","0.018404489106615074"
"27","0.013972799555631354","0.013972799555631354","0.013972799555631354","0.020209910784615204","0.020209910784615204","0.020209910784615204","0.045144981413614005","0.045144981413614005","0.045144981413614005","0.01951061119325459","0.01951061119325459","0.01951061119325459","0.03815777788986452","0.03815777788986452","0.03815777788986452","0.01836641640693415","0.01836641640693415","0.01836641640693415"
"28","0.013891269656596705","0.013891269656596705","0.013891269656596705","0.019988920583273284","0.019988920583273284","0.019988920583273284","0.04406694701174274","0.04406694701174274","0.04406694701174274","0.01915795390959829","0.01915795390959829","0.01915795390959829","0.03802496298158076","0.03802496298158076","0.03802496298158076","0.018328211663174443","0.018328211663174443","0.018328211663174443"
"29","0.013811069075018167","0.013811069075018167","0.013811069075018167","0.019761982504860498","0.019761982504860498","0.019761982504860498","0.042879951011855155","0.042879951011855155","0.042879951011855155","0.018733402946963906","0.018733402946963906","0.018733402946963906","0.03788603568682447","0.03788603568682447","0.03788603568682447","0.018290290812728927","0.018290290812728927","0.018290290812728927"
"30","0.013728535908740014","0.013728535908740014","0.013728535908740014","0.019533216312993318","0.019533216312993318","0.019533216312993318","0.041642748125013895","0.041642748125013895","0.041642748125013895","0.01822841860121116","0.01822841860121116","0.01822841860121116","0.03774319982039742","0.03774319982039742","0.03774319982039742","0.018251985209644772","0.018251985209644772","0.018251985209644772"
"31","0.0136428797559347","0.0136428797559347","0.0136428797559347","0.01930054982949514","0.01930054982949514","0.01930054982949514","0.040348360809730366","0.040348360809730366","0.040348360809730366","0.01759221008978784","0.01759221008978784","0.01759221008978784","0.03760224451252725","0.03760224451252725","0.03760224451252725","0.018213238639873452","0.018213238639873452","0.018213238639873452"
"32","0.013560384104494005","0.013560384104494005","0.013560384104494005","0.019071882299613208","0.019071882299613208","0.019071882299613208","0.038944232219364494","0.038944232219364494","0.038944232219364494","0.016923464252613485","0.016923464252613485","0.016923464252613485","0.03746399097144604","0.03746399097144604","0.03746399097144604","0.01817411599040497","0.01817411599040497","0.01817411599040497"
"33","0.01348170023993589","0.01348170023993589","0.01348170023993589","0.018835394643247128","0.018835394643247128","0.018835394643247128","0.03757706959731877","0.03757706959731877","0.03757706959731877","0.016212020302191377","0.016212020302191377","0.016212020302191377","0.03732615211629309","0.03732615211629309","0.03732615211629309","0.018134708574507385","0.018134708574507385","0.018134708574507385"
"34","0.013407292775809765","0.013407292775809765","0.013407292775809765","0.01859885846351972","0.01859885846351972","0.01859885846351972","0.036282907574786805","0.036282907574786805","0.036282907574786805","0.015527940646279603","0.015527940646279603","0.015527940646279603","0.037186787580139935","0.037186787580139935","0.037186787580139935","0.01809460681397468","0.01809460681397468","0.01809460681397468"
"35","0.013339744764380157","0.013339744764380157","0.013339744764380157","0.018366310687270015","0.018366310687270015","0.018366310687270015","0.03507034924405161","0.03507034924405161","0.03507034924405161","0.014986303693149239","0.014986303693149239","0.014986303693149239","0.03704486752394587","0.03704486752394587","0.03704486752394587","0.01805438617884647","0.01805438617884647","0.01805438617884647"
"36","0.013271108153276145","0.013271108153276145","0.013271108153276145","0.018132261728169397","0.018132261728169397","0.018132261728169397","0.033944921829970554","0.033944921829970554","0.033944921829970554","0.0145649608457461","0.0145649608457461","0.0145649608457461","0.036901005791150965","0.036901005791150965","0.036901005791150965","0.01801312292809598","0.01801312292809598","0.01801312292809598"
"37","0.013195435691159219","0.013195435691159219","0.013195435691159219","0.017892076502903365","0.017892076502903365","0.017892076502903365","0.03289277199655771","0.03289277199655771","0.03289277199655771","0.014250600594095886","0.014250600594095886","0.014250600594095886","0.03675306943478063","0.03675306943478063","0.03675306943478063","0.017971504203160293","0.017971504203160293","0.017971504203160293"
"38","0.01312876184238121","0.01312876184238121","0.01312876184238121","0.017652958464168478","0.017652958464168478","0.017652958464168478","0.031767427804879844","0.031767427804879844","0.031767427804879844","0.014006157172843814","0.014006157172843814","0.014006157172843814","0.03660377442429308","0.03660377442429308","0.03660377442429308","0.017929220353835262","0.017929220353835262","0.017929220353835262"
"39","0.0130702858150471","0.0130702858150471","0.0130702858150471","0.01742322347854497","0.01742322347854497","0.01742322347854497","0.03199896979640471","0.03199896979640471","0.03199896979640471","0.013808973977575079","0.013808973977575079","0.013808973977575079","0.03644993525813334","0.03644993525813334","0.03644993525813334","0.017886825153254904","0.017886825153254904","0.017886825153254904"
"40","0.013018440338782966","0.013018440338782966","0.013018440338782966","0.017196293025335763","0.017196293025335763","0.017196293025335763","0.03376094031409593","0.03376094031409593","0.03376094031409593","0.0136426032113377","0.0136426032113377","0.0136426032113377","0.03628809700603597","0.03628809700603597","0.03628809700603597","0.017843855574028566","0.017843855574028566","0.017843855574028566"
"41","0.0129745886370074","0.0129745886370074","0.0129745886370074","0.01697207722463645","0.01697207722463645","0.01697207722463645","0.03499364826711826","0.03499364826711826","0.03499364826711826","0.01349775493144989","0.01349775493144989","0.01349775493144989","0.03612535653519444","0.03612535653519444","0.03612535653519444","0.017799965440644883","0.017799965440644883","0.017799965440644883"
"42","0.012929806543979794","0.012929806543979794","0.012929806543979794","0.01675297294423217","0.01675297294423217","0.01675297294423217","0.03627632053394336","0.03627632053394336","0.03627632053394336","0.013375593262026086","0.013375593262026086","0.013375593262026086","0.03595736723218579","0.03595736723218579","0.03595736723218579","0.01775593809725251","0.01775593809725251","0.01775593809725251"
"43","0.012882473442004994","0.012882473442004994","0.012882473442004994","0.016539523217943497","0.016539523217943497","0.016539523217943497","0.035828813997795805","0.035828813997795805","0.035828813997795805","0.013278048689244315","0.013278048689244315","0.013278048689244315","0.03578241435752716","0.03578241435752716","0.03578241435752716","0.017710499712848105","0.017710499712848105","0.017710499712848105"
"44","0.01282957592047751","0.01282957592047751","0.01282957592047751","0.016342944305506535","0.016342944305506535","0.016342944305506535","0.034486385542550124","0.034486385542550124","0.034486385542550124","0.013194588595069945","0.013194588595069945","0.013194588595069945","0.035606835677754134","0.035606835677754134","0.035606835677754134","0.017664013925241306","0.017664013925241306","0.017664013925241306"
"45","0.012769442022545263","0.012769442022545263","0.012769442022545263","0.016150509130966384","0.016150509130966384","0.016150509130966384","0.03313111148600001","0.03313111148600001","0.03313111148600001","0.013127918151440099","0.013127918151440099","0.013127918151440099","0.03542196083435556","0.03542196083435556","0.03542196083435556","0.01761756872292608","0.01761756872292608","0.01761756872292608"
"46","0.012704059190582484","0.012704059190582484","0.012704059190582484","0.0159508574361098","0.0159508574361098","0.0159508574361098","0.03195698882336728","0.03195698882336728","0.03195698882336728","0.013073283829726279","0.013073283829726279","0.013073283829726279","0.035231838148320094","0.035231838148320094","0.035231838148320094","0.01757015398470685","0.01757015398470685","0.01757015398470685"
"47","0.012632790429051965","0.012632790429051965","0.012632790429051965","0.015764765899803024","0.015764765899803024","0.015764765899803024","0.030687839520396665","0.030687839520396665","0.030687839520396665","0.013036629388807341","0.013036629388807341","0.013036629388807341","0.035035963272093795","0.035035963272093795","0.035035963272093795","0.017521783069241792","0.017521783069241792","0.017521783069241792"
"48","0.012556137924548239","0.012556137924548239","0.012556137924548239","0.01559275393083226","0.01559275393083226","0.01559275393083226","0.029921203262347262","0.029921203262347262","0.029921203262347262","0.013010115711949766","0.013010115711949766","0.013010115711949766","0.034833585035812575","0.034833585035812575","0.034833585035812575","0.017472167513915338","0.017472167513915338","0.017472167513915338"
"49","0.012476081785280257","0.012476081785280257","0.012476081785280257","0.015425598867295776","0.015425598867295776","0.015425598867295776","0.03044350912387017","0.03044350912387017","0.03044350912387017","0.012991561059607193","0.012991561059607193","0.012991561059607193","0.0346248382847989","0.0346248382847989","0.0346248382847989","0.017422146003809758","0.017422146003809758","0.017422146003809758"
"50","0.012388730247039348","0.012388730247039348","0.012388730247039348","0.015265610345522873","0.015265610345522873","0.015265610345522873","0.03290204635413829","0.03290204635413829","0.03290204635413829","0.012978471873793751","0.012978471873793751","0.012978471873793751","0.034414868569001555","0.034414868569001555","0.034414868569001555","0.01737016397237312","0.01737016397237312","0.01737016397237312"
"51","0.012297795532504097","0.012297795532504097","0.012297795532504097","0.015117958580958657","0.015117958580958657","0.015117958580958657","0.03684987997985445","0.03684987997985445","0.03684987997985445","0.012971223564818501","0.012971223564818501","0.012971223564818501","0.03419656910409685","0.03419656910409685","0.03419656910409685","0.01731602571089752","0.01731602571089752","0.01731602571089752"
