"Step","stairs_pose_net_mobv3l - epoch/test_rotation_loss","stairs_pose_net_mobv3l - epoch/test_rotation_loss__MIN","stairs_pose_net_mobv3l - epoch/test_rotation_loss__MAX","pumpkin_pose_net_mobv3l - epoch/test_rotation_loss","pumpkin_pose_net_mobv3l - epoch/test_rotation_loss__MIN","pumpkin_pose_net_mobv3l - epoch/test_rotation_loss__MAX","office_pose_net_mobv3l - epoch/test_rotation_loss","office_pose_net_mobv3l - epoch/test_rotation_loss__MIN","office_pose_net_mobv3l - epoch/test_rotation_loss__MAX","heads_pose_net_mobv3l - epoch/test_rotation_loss","heads_pose_net_mobv3l - epoch/test_rotation_loss__MIN","heads_pose_net_mobv3l - epoch/test_rotation_loss__MAX","fire_pose_net_mobv3l - epoch/test_rotation_loss","fire_pose_net_mobv3l - epoch/test_rotation_loss__MIN","fire_pose_net_mobv3l - epoch/test_rotation_loss__MAX","chess_pose_net_mobv3l - epoch/test_rotation_loss","chess_pose_net_mobv3l - epoch/test_rotation_loss__MIN","chess_pose_net_mobv3l - epoch/test_rotation_loss__MAX"
"1","0.014732142793945968","0.014732142793945968","0.014732142793945968","0.026717985383584164","0.026717985383584164","0.026717985383584164","0.058254786097677425","0.058254786097677425","0.058254786097677425","0.019212213810533285","0.019212213810533285","0.019212213810533285","0.048990318638971075","0.048990318638971075","0.048990318638971075","0.01878549599496182","0.01878549599496182","0.01878549599496182"
"2","0.015932153270114213","0.015932153270114213","0.015932153270114213","0.025723137252498418","0.025723137252498418","0.025723137252498418","0.05831493792356923","0.05831493792356923","0.05831493792356923","0.015032610681373626","0.015032610681373626","0.015032610681373626","0.04592613398563117","0.04592613398563117","0.04592613398563117","0.019084370738710277","0.019084370738710277","0.019084370738710277"
"3","0.016800821584183723","0.016800821584183723","0.016800821584183723","0.026941482472466305","0.026941482472466305","0.026941482472466305","0.05867714440682903","0.05867714440682903","0.05867714440682903","0.017291989119257778","0.017291989119257778","0.017291989119257778","0.043255243508610874","0.043255243508610874","0.043255243508610874","0.01920122436422389","0.01920122436422389","0.01920122436422389"
"4","0.017469907004851848","0.017469907004851848","0.017469907004851848","0.026103939570020884","0.026103939570020884","0.026103939570020884","0.05842241476057097","0.05842241476057097","0.05842241476057097","0.018497128796298057","0.018497128796298057","0.018497128796298057","0.04206963596516289","0.04206963596516289","0.04206963596516289","0.01923487999010831","0.01923487999010831","0.01923487999010831"
"5","0.017571661446709186","0.017571661446709186","0.017571661446709186","0.023694886971497908","0.023694886971497908","0.023694886971497908","0.058058166643604636","0.058058166643604636","0.058058166643604636","0.017683791695162654","0.017683791695162654","0.017683791695162654","0.041917036403901875","0.041917036403901875","0.041917036403901875","0.019186395526048727","0.019186395526048727","0.019186395526048727"
"6","0.015752597129903734","0.015752597129903734","0.015752597129903734","0.02354635638766922","0.02354635638766922","0.02354635638766922","0.05774601933080703","0.05774601933080703","0.05774601933080703","0.01632058812538162","0.01632058812538162","0.01632058812538162","0.04197945730993524","0.04197945730993524","0.04197945730993524","0.019058359335758723","0.019058359335758723","0.019058359335758723"
"7","0.015145185228902847","0.015145185228902847","0.015145185228902847","0.023919548839330673","0.023919548839330673","0.023919548839330673","0.05737446341663599","0.05737446341663599","0.05737446341663599","0.015348236920544878","0.015348236920544878","0.015348236920544878","0.042063384331413545","0.042063384331413545","0.042063384331413545","0.018941416215966456","0.018941416215966456","0.018941416215966456"
"8","0.014320048096124083","0.014320048096124083","0.014320048096124083","0.02474124587024562","0.02474124587024562","0.02474124587024562","0.057251721067586914","0.057251721067586914","0.057251721067586914","0.014855277957394719","0.014855277957394719","0.014855277957394719","0.042294984639738686","0.042294984639738686","0.042294984639738686","0.01885175844654441","0.01885175844654441","0.01885175844654441"
"9","0.014210220164386556","0.014210220164386556","0.014210220164386556","0.025290312129072845","0.025290312129072845","0.025290312129072845","0.05712033016607165","0.05712033016607165","0.05712033016607165","0.014658507949206978","0.014658507949206978","0.014658507949206978","0.04230877084773965","0.04230877084773965","0.04230877084773965","0.018741984138614498","0.018741984138614498","0.018741984138614498"
"10","0.014134850353002548","0.014134850353002548","0.014134850353002548","0.024961266375612468","0.024961266375612468","0.024961266375612468","0.05660248396452516","0.05660248396452516","0.05660248396452516","0.014603368588723242","0.014603368588723242","0.014603368588723242","0.04219427931820974","0.04219427931820974","0.04219427931820974","0.01861952114268206","0.01861952114268206","0.01861952114268206"
"11","0.014213308750186116","0.014213308750186116","0.014213308750186116","0.024132929975166917","0.024132929975166917","0.024132929975166917","0.056229467678349465","0.056229467678349465","0.056229467678349465","0.01456685917219147","0.01456685917219147","0.01456685917219147","0.04196835294715129","0.04196835294715129","0.04196835294715129","0.01847787523001898","0.01847787523001898","0.01847787523001898"
"12","0.014206190768163651","0.014206190768163651","0.014206190768163651","0.02360047574620694","0.02360047574620694","0.02360047574620694","0.055947312037460506","0.055947312037460506","0.055947312037460506","0.014482834201771766","0.014482834201771766","0.014482834201771766","0.041688565848744474","0.041688565848744474","0.041688565848744474","0.018335847489652224","0.018335847489652224","0.018335847489652224"
"13","0.014376511331647635","0.014376511331647635","0.014376511331647635","0.02320941684592981","0.02320941684592981","0.02320941684592981","0.05570119002368301","0.05570119002368301","0.05570119002368301","0.014381943648913875","0.014381943648913875","0.014381943648913875","0.041330704669235274","0.041330704669235274","0.041330704669235274","0.018200753969722427","0.018200753969722427","0.018200753969722427"
"14","0.014723477535881102","0.014723477535881102","0.014723477535881102","0.02287768921814859","0.02287768921814859","0.02287768921814859","0.0554786434804555","0.0554786434804555","0.0554786434804555","0.014259405666962266","0.014259405666962266","0.014259405666962266","0.04095738737669308","0.04095738737669308","0.04095738737669308","0.018082172216963954","0.018082172216963954","0.018082172216963954"
"15","0.01522584751364775","0.01522584751364775","0.01522584751364775","0.02261070090753492","0.02261070090753492","0.02261070090753492","0.055271225690376014","0.055271225690376014","0.055271225690376014","0.014145973429549485","0.014145973429549485","0.014145973429549485","0.040609039686387405","0.040609039686387405","0.040609039686387405","0.01797784405061975","0.01797784405061975","0.01797784405061975"
"16","0.015393784851767123","0.015393784851767123","0.015393784851767123","0.022378499183105305","0.022378499183105305","0.022378499183105305","0.055063418054487556","0.055063418054487556","0.055063418054487556","0.014053724007681012","0.014053724007681012","0.014053724007681012","0.04021924233529717","0.04021924233529717","0.04021924233529717","0.01788623459287919","0.01788623459287919","0.01788623459287919"
"17","0.015130125160794705","0.015130125160794705","0.015130125160794705","0.02216813908307813","0.02216813908307813","0.02216813908307813","0.054848814848810434","0.054848814848810434","0.054848814848810434","0.013976841437397525","0.013976841437397525","0.013976841437397525","0.03972343049827032","0.03972343049827032","0.03972343049827032","0.017802646703785285","0.017802646703785285","0.017802646703785285"
"18","0.015451274870429188","0.015451274870429188","0.015451274870429188","0.02196172092226334","0.02196172092226334","0.02196172092226334","0.05462311176233925","0.05462311176233925","0.05462311176233925","0.013909811386838555","0.013909811386838555","0.013909811386838555","0.039397850807290524","0.039397850807290524","0.039397850807290524","0.01772111603349913","0.01772111603349913","0.01772111603349913"
"19","0.01615317090181634","0.01615317090181634","0.01615317090181634","0.02175972066470422","0.02175972066470422","0.02175972066470422","0.05438198821502738","0.05438198821502738","0.05438198821502738","0.013833323260769248","0.013833323260769248","0.013833323260769248","0.03912467682675924","0.03912467682675924","0.03912467682675924","0.017635043535847217","0.017635043535847217","0.017635043535847217"
"20","0.0163314298260957","0.0163314298260957","0.0163314298260957","0.02155282095191069","0.02155282095191069","0.02155282095191069","0.05413060411228798","0.05413060411228798","0.05413060411228798","0.013752545812167227","0.013752545812167227","0.013752545812167227","0.03893535700626671","0.03893535700626671","0.03893535700626671","0.017550437900354154","0.017550437900354154","0.017550437900354154"
