"Step","stairs_pose_net_g - epoch/test_rotation_loss","stairs_pose_net_g - epoch/test_rotation_loss__MIN","stairs_pose_net_g - epoch/test_rotation_loss__MAX","pumpkin_pose_net_g - epoch/test_rotation_loss","pumpkin_pose_net_g - epoch/test_rotation_loss__MIN","pumpkin_pose_net_g - epoch/test_rotation_loss__MAX","office_pose_net_g - epoch/test_rotation_loss","office_pose_net_g - epoch/test_rotation_loss__MIN","office_pose_net_g - epoch/test_rotation_loss__MAX","heads_pose_net_g - epoch/test_rotation_loss","heads_pose_net_g - epoch/test_rotation_loss__MIN","heads_pose_net_g - epoch/test_rotation_loss__MAX","fire_pose_net_g - epoch/test_rotation_loss","fire_pose_net_g - epoch/test_rotation_loss__MIN","fire_pose_net_g - epoch/test_rotation_loss__MAX","chess_pose_net_g - epoch/test_rotation_loss","chess_pose_net_g - epoch/test_rotation_loss__MIN","chess_pose_net_g - epoch/test_rotation_loss__MAX"
"13","0.0138859565340681","0.0138859565340681","0.0138859565340681","0.024596337039838545","0.024596337039838545","0.024596337039838545","0.05808211033581756","0.05808211033581756","0.05808211033581756","0.014721354382345453","0.014721354382345453","0.014721354382345453","0.040038742328761145","0.040038742328761145","0.040038742328761145","0.01872038010333199","0.01872038010333199","0.01872038010333199"
"14","0.013864058593753725","0.013864058593753725","0.013864058593753725","0.024480564359691925","0.024480564359691925","0.024480564359691925","0.058035661990288645","0.058035661990288645","0.058035661990288645","0.0146940691920463","0.0146940691920463","0.0146940691920463","0.039973196282517165","0.039973196282517165","0.039973196282517165","0.018681321715121157","0.018681321715121157","0.018681321715121157"
"15","0.013842381376889534","0.013842381376889534","0.013842381376889534","0.024368487647734582","0.024368487647734582","0.024368487647734582","0.057987671869341284","0.057987671869341284","0.057987671869341284","0.014670642849523574","0.014670642849523574","0.014670642849523574","0.03991274876170792","0.03991274876170792","0.03991274876170792","0.018639813672052696","0.018639813672052696","0.018639813672052696"
"16","0.01382716468651779","0.01382716468651779","0.01382716468651779","0.024231887568021193","0.024231887568021193","0.024231887568021193","0.057938715792261064","0.057938715792261064","0.057938715792261064","0.014649559831013903","0.014649559831013903","0.014649559831013903","0.03984677736298181","0.03984677736298181","0.03984677736298181","0.018599495640955865","0.018599495640955865","0.018599495640955865"
"17","0.013810682707116939","0.013810682707116939","0.013810682707116939","0.02410417347709881","0.02410417347709881","0.02410417347709881","0.05788971405127086","0.05788971405127086","0.05788971405127086","0.014631497586378828","0.014631497586378828","0.014631497586378828","0.03978043234383222","0.03978043234383222","0.03978043234383222","0.018562406257842667","0.018562406257842667","0.018562406257842667"
"18","0.013795535938697867","0.013795535938697867","0.013795535938697867","0.02396862831665203","0.02396862831665203","0.02396862831665203","0.0578398423967883","0.0578398423967883","0.0578398423967883","0.014615459193009883","0.014615459193009883","0.014615459193009883","0.039706300100078806","0.039706300100078806","0.039706300100078806","0.0185243152664043","0.0185243152664043","0.0185243152664043"
"19","0.013777022904832847","0.013777022904832847","0.013777022904832847","0.02384084181539947","0.02384084181539947","0.02384084181539947","0.057790218910668045","0.057790218910668045","0.057790218910668045","0.014600588474422693","0.014600588474422693","0.014600588474422693","0.039643641823204234","0.039643641823204234","0.039643641823204234","0.018481033082935028","0.018481033082935028","0.018481033082935028"
"20","0.013759074121480808","0.013759074121480808","0.013759074121480808","0.02370891581813339","0.02370891581813339","0.02370891581813339","0.057738341100048274","0.057738341100048274","0.057738341100048274","0.014585840835934505","0.014585840835934505","0.014585840835934505","0.039568924432387576","0.039568924432387576","0.039568924432387576","0.018444569024723023","0.018444569024723023","0.018444569024723023"
"21","0.013745283169555478","0.013745283169555478","0.013745283169555478","0.023584537775604986","0.023584537775604986","0.023584537775604986","0.057686503627337515","0.057686503627337515","0.057686503627337515","0.01456964947283268","0.01456964947283268","0.01456964947283268","0.039495255434303544","0.039495255434303544","0.039495255434303544","0.01840337635076139","0.01840337635076139","0.01840337635076139"
"22","0.013732344537856989","0.013732344537856989","0.013732344537856989","0.023456441384041682","0.023456441384041682","0.023456441384041682","0.05763458242290653","0.05763458242290653","0.05763458242290653","0.014553030079696327","0.014553030079696327","0.014553030079696327","0.039418111846316606","0.039418111846316606","0.039418111846316606","0.018362764036282897","0.018362764036282897","0.018362764036282897"
