"Step","stairs_pose_net_r18 - epoch/test_rotation_loss","stairs_pose_net_r18 - epoch/test_rotation_loss__MIN","stairs_pose_net_r18 - epoch/test_rotation_loss__MAX","pumpkin_pose_net_r18 - epoch/test_rotation_loss","pumpkin_pose_net_r18 - epoch/test_rotation_loss__MIN","pumpkin_pose_net_r18 - epoch/test_rotation_loss__MAX","office_pose_net_r18 - epoch/test_rotation_loss","office_pose_net_r18 - epoch/test_rotation_loss__MIN","office_pose_net_r18 - epoch/test_rotation_loss__MAX","heads_pose_net_r18 - epoch/test_rotation_loss","heads_pose_net_r18 - epoch/test_rotation_loss__MIN","heads_pose_net_r18 - epoch/test_rotation_loss__MAX","fire_pose_net_r18 - epoch/test_rotation_loss","fire_pose_net_r18 - epoch/test_rotation_loss__MIN","fire_pose_net_r18 - epoch/test_rotation_loss__MAX","chess_pose_net_r18 - epoch/test_rotation_loss","chess_pose_net_r18 - epoch/test_rotation_loss__MIN","chess_pose_net_r18 - epoch/test_rotation_loss__MAX"
"1","0.034104009391739964","0.034104009391739964","0.034104009391739964","0.024558800738304853","0.024558800738304853","0.024558800738304853","0.05900780623778701","0.05900780623778701","0.05900780623778701","0.013908947352319956","0.013908947352319956","0.013908947352319956","0.044589585275389254","0.044589585275389254","0.044589585275389254","0.020816203556023538","0.020816203556023538","0.020816203556023538"
"2","0.026422565919347107","0.026422565919347107","0.026422565919347107","0.025088789057917893","0.025088789057917893","0.025088789057917893","0.057398789562284946","0.057398789562284946","0.057398789562284946","0.01592763653025031","0.01592763653025031","0.01592763653025031","0.03721003432292491","0.03721003432292491","0.03721003432292491","0.01951391523471102","0.01951391523471102","0.01951391523471102"
"3","0.022324013989418745","0.022324013989418745","0.022324013989418745","0.025504969991743565","0.025504969991743565","0.025504969991743565","0.05744152225088328","0.05744152225088328","0.05744152225088328","0.016399226151406765","0.016399226151406765","0.016399226151406765","0.03741266345605254","0.03741266345605254","0.03741266345605254","0.018854990019463003","0.018854990019463003","0.018854990019463003"
"4","0.019781294220592827","0.019781294220592827","0.019781294220592827","0.025668073212727904","0.025668073212727904","0.025668073212727904","0.057504814001731575","0.057504814001731575","0.057504814001731575","0.016259296098724008","0.016259296098724008","0.016259296098724008","0.03814767813310027","0.03814767813310027","0.03814767813310027","0.01858180051203817","0.01858180051203817","0.01858180051203817"
"5","0.017922751663718373","0.017922751663718373","0.017922751663718373","0.025624613626860082","0.025624613626860082","0.025624613626860082","0.05742873752024025","0.05742873752024025","0.05742873752024025","0.01592092332430184","0.01592092332430184","0.01592092332430184","0.038671321352012455","0.038671321352012455","0.038671321352012455","0.018429588119033724","0.018429588119033724","0.018429588119033724"
"6","0.016553168068639934","0.016553168068639934","0.016553168068639934","0.02549241087399423","0.02549241087399423","0.02549241087399423","0.05727165029384196","0.05727165029384196","0.05727165029384196","0.015561798121780157","0.015561798121780157","0.015561798121780157","0.03890567540656775","0.03890567540656775","0.03890567540656775","0.018320259754545987","0.018320259754545987","0.018320259754545987"
"7","0.015615261800121516","0.015615261800121516","0.015615261800121516","0.025332011282444","0.025332011282444","0.025332011282444","0.05707441864069551","0.05707441864069551","0.05707441864069551","0.015225937124341726","0.015225937124341726","0.015225937124341726","0.03892828745301813","0.03892828745301813","0.03892828745301813","0.01822400779929012","0.01822400779929012","0.01822400779929012"
"8","0.015028354770038277","0.015028354770038277","0.015028354770038277","0.025165125960484147","0.025165125960484147","0.025165125960484147","0.05685485352296382","0.05685485352296382","0.05685485352296382","0.014928113203495741","0.014928113203495741","0.014928113203495741","0.03883004328235984","0.03883004328235984","0.03883004328235984","0.01812923711258918","0.01812923711258918","0.01812923711258918"
"9","0.014671483775600791","0.014671483775600791","0.014671483775600791","0.024997556232847273","0.024997556232847273","0.024997556232847273","0.056617732741869986","0.056617732741869986","0.056617732741869986","0.014667914481833577","0.014667914481833577","0.014667914481833577","0.03867821104358882","0.03867821104358882","0.03867821104358882","0.01803219085559249","0.01803219085559249","0.01803219085559249"
"10","0.014451952767558396","0.014451952767558396","0.014451952767558396","0.024828731664456427","0.024828731664456427","0.024828731664456427","0.056366242351941764","0.056366242351941764","0.056366242351941764","0.0144462906755507","0.0144462906755507","0.0144462906755507","0.03851067996583879","0.03851067996583879","0.03851067996583879","0.017932262970134616","0.017932262970134616","0.017932262970134616"
"11","0.014312651910586283","0.014312651910586283","0.014312651910586283","0.024658964131958783","0.024658964131958783","0.024658964131958783","0.05609873589128256","0.05609873589128256","0.05609873589128256","0.014269605511799455","0.014269605511799455","0.014269605511799455","0.038346559973433614","0.038346559973433614","0.038346559973433614","0.017830093158409","0.017830093158409","0.017830093158409"
"12","0.014220717828720808","0.014220717828720808","0.014220717828720808","0.024486267007887363","0.024486267007887363","0.024486267007887363","0.05581400357186794","0.05581400357186794","0.05581400357186794","0.014141477178782225","0.014141477178782225","0.014141477178782225","0.0381919052451849","0.0381919052451849","0.0381919052451849","0.01772545324638486","0.01772545324638486","0.01772545324638486"
"13","0.014156926423311234","0.014156926423311234","0.014156926423311234","0.024310779408551753","0.024310779408551753","0.024310779408551753","0.055509748752228916","0.055509748752228916","0.055509748752228916","0.01405173959210515","0.01405173959210515","0.01405173959210515","0.03804755466990173","0.03804755466990173","0.03804755466990173","0.017618166166357696","0.017618166166357696","0.017618166166357696"
"14","0.014110317162703723","0.014110317162703723","0.014110317162703723","0.02413267979864031","0.02413267979864031","0.02413267979864031","0.0551840232219547","0.0551840232219547","0.0551840232219547","0.013991894433274865","0.013991894433274865","0.013991894433274865","0.037911457126028836","0.037911457126028836","0.037911457126028836","0.017508507356978953","0.017508507356978953","0.017508507356978953"
"15","0.01407319598365575","0.01407319598365575","0.01407319598365575","0.023951633251272142","0.023951633251272142","0.023951633251272142","0.05483385536354035","0.05483385536354035","0.05483385536354035","0.013949344400316477","0.013949344400316477","0.013949344400316477","0.037780019105412066","0.037780019105412066","0.037780019105412066","0.017395713715814054","0.017395713715814054","0.017395713715814054"
"16","0.014042222814168781","0.014042222814168781","0.014042222814168781","0.023767405888065696","0.023767405888065696","0.023767405888065696","0.054455712204799056","0.054455712204799056","0.054455712204799056","0.01391719002276659","0.01391719002276659","0.01391719002276659","0.03765116375871003","0.03765116375871003","0.03765116375871003","0.017279405961744487","0.017279405961744487","0.017279405961744487"
"17","0.014014324231538922","0.014014324231538922","0.014014324231538922","0.023578180465847254","0.023578180465847254","0.023578180465847254","0.054045778641011566","0.054045778641011566","0.054045778641011566","0.013889801921322942","0.013889801921322942","0.013889801921322942","0.037522793863900006","0.037522793863900006","0.037522793863900006","0.017159661161713302","0.017159661161713302","0.017159661161713302"
"18","0.013988053076900542","0.013988053076900542","0.013988053076900542","0.02338451670948416","0.02338451670948416","0.02338451670948416","0.053600971994455904","0.053600971994455904","0.053600971994455904","0.01386430230922997","0.01386430230922997","0.01386430230922997","0.03739329590462148","0.03739329590462148","0.03739329590462148","0.017035962897352874","0.017035962897352874","0.017035962897352874"
