"Step","stairs_pose_net_r34 - epoch/test_rotation_loss","stairs_pose_net_r34 - epoch/test_rotation_loss__MIN","stairs_pose_net_r34 - epoch/test_rotation_loss__MAX","pumpkin_pose_net_r34 - epoch/test_rotation_loss","pumpkin_pose_net_r34 - epoch/test_rotation_loss__MIN","pumpkin_pose_net_r34 - epoch/test_rotation_loss__MAX","office_pose_net_r34 - epoch/test_rotation_loss","office_pose_net_r34 - epoch/test_rotation_loss__MIN","office_pose_net_r34 - epoch/test_rotation_loss__MAX","heads_pose_net_r34 - epoch/test_rotation_loss","heads_pose_net_r34 - epoch/test_rotation_loss__MIN","heads_pose_net_r34 - epoch/test_rotation_loss__MAX","fire_pose_net_r34 - epoch/test_rotation_loss","fire_pose_net_r34 - epoch/test_rotation_loss__MIN","fire_pose_net_r34 - epoch/test_rotation_loss__MAX","chess_pose_net_r34 - epoch/test_rotation_loss","chess_pose_net_r34 - epoch/test_rotation_loss__MIN","chess_pose_net_r34 - epoch/test_rotation_loss__MAX"
"1","0.028276881901547313","0.028276881901547313","0.028276881901547313","0.030872703704517335","0.030872703704517335","0.030872703704517335","0.05856498455977999","0.05856498455977999","0.05856498455977999","0.01719457152648829","0.01719457152648829","0.01719457152648829","0.03783710056450218","0.03783710056450218","0.03783710056450218","0.019314999575726688","0.019314999575726688","0.019314999575726688"
"2","0.019603301596362144","0.019603301596362144","0.019603301596362144","0.026950256316922605","0.026950256316922605","0.026950256316922605","0.05835758594912477","0.05835758594912477","0.05835758594912477","0.014819267933489755","0.014819267933489755","0.014819267933489755","0.0389924307964975","0.0389924307964975","0.0389924307964975","0.018956218584207818","0.018956218584207818","0.018956218584207818"
"3","0.015749265963677317","0.015749265963677317","0.015749265963677317","0.026289206798537634","0.026289206798537634","0.026289206798537634","0.058112083963351324","0.058112083963351324","0.058112083963351324","0.014519126416416839","0.014519126416416839","0.014519126416416839","0.04004903069289867","0.04004903069289867","0.04004903069289867","0.01898496365174651","0.01898496365174651","0.01898496365174651"
"4","0.014404601213755086","0.014404601213755086","0.014404601213755086","0.026129986028536223","0.026129986028536223","0.026129986028536223","0.05791040399344638","0.05791040399344638","0.05791040399344638","0.014695897581987083","0.014695897581987083","0.014695897581987083","0.04066572998999618","0.04066572998999618","0.04066572998999618","0.018919935246231034","0.018919935246231034","0.018919935246231034"
"5","0.013918505719630048","0.013918505719630048","0.013918505719630048","0.025921128937625326","0.025921128937625326","0.025921128937625326","0.05772205351968296","0.05772205351968296","0.05772205351968296","0.014913006132701412","0.014913006132701412","0.014913006132701412","0.04095906928705517","0.04095906928705517","0.04095906928705517","0.018842152334400453","0.018842152334400453","0.018842152334400453"
"6","0.013736966473516077","0.013736966473516077","0.013736966473516077","0.025693979987408966","0.025693979987408966","0.025693979987408966","0.05753046754398383","0.05753046754398383","0.05753046754398383","0.015057787648402154","0.015057787648402154","0.015057787648402154","0.04106435345602222","0.04106435345602222","0.04106435345602222","0.01876635903317947","0.01876635903317947","0.01876635903317947"
"7","0.013669966632733122","0.013669966632733122","0.013669966632733122","0.025467990548349917","0.025467990548349917","0.025467990548349917","0.05733585375128314","0.05733585375128314","0.05733585375128314","0.015133682492887601","0.015133682492887601","0.015133682492887601","0.04107348548131995","0.04107348548131995","0.04107348548131995","0.01869159449415747","0.01869159449415747","0.01869159449415747"
"8","0.013640877456055023","0.013640877456055023","0.013640877456055023","0.025245485012419522","0.025245485012419522","0.025245485012419522","0.057133403955958784","0.057133403955958784","0.057133403955958784","0.01516587968217209","0.01516587968217209","0.01516587968217209","0.04103803065663669","0.04103803065663669","0.04103803065663669","0.018616953631862998","0.018616953631862998","0.018616953631862998"
"9","0.013621495629195124","0.013621495629195124","0.013621495629195124","0.0250230084056966","0.0250230084056966","0.0250230084056966","0.05692430862109177","0.05692430862109177","0.05692430862109177","0.015171640028711408","0.015171640028711408","0.015171640028711408","0.04098257434088737","0.04098257434088737","0.04098257434088737","0.01854192276368849","0.01854192276368849","0.01854192276368849"
"10","0.013602499981061555","0.013602499981061555","0.013602499981061555","0.024800163344480097","0.024800163344480097","0.024800163344480097","0.056704531772993505","0.056704531772993505","0.056704531772993505","0.015162632684223354","0.015162632684223354","0.015162632684223354","0.040918577782576904","0.040918577782576904","0.040918577782576904","0.018466193883796223","0.018466193883796223","0.018466193883796223"
